sample,host_elapsed_s,mono_ns,phase,door_deg,lip_height_cm,shoulder_deg,shoulder_load_raw,elbow_load_raw,wrist_load_raw,arm_target_error_deg,torque_command,target_door_deg,roll_deg,target_roll_deg,outlet_slope_deg,q_0_deg,q_1_deg,q_2_deg,q_3_deg,q_4_deg,q_5_deg
0,0.044682009,16390491362698,preflight,29.267578137827087,24.646419492015443,75.05859375834585,84.0,61.0,13.0,0.0,-1.0,29.267578137827087,-4.746093776022332,-4.746093776022332,7.7620599924847475,89.12109375481054,75.05859375834585,43.24218752064164,64.86328122366668,-4.746093776022332,29.267578137827087
1,0.061376011,16390508056700,preflight,29.267578137827087,24.646419492015443,75.05859375834585,84.0,61.0,13.0,0.0,-1.0,29.267578137827087,-4.746093776022332,-4.746093776022332,7.7620599924847475,89.12109375481054,75.05859375834585,43.24218752064164,64.86328122366668,-4.746093776022332,29.267578137827087
2,0.083401404,16390530082093,preflight,29.267578137827087,24.646419492015443,75.05859375834585,84.0,61.0,13.0,0.0,-1.0,29.267578137827087,-4.746093776022332,-4.746093776022332,7.7620599924847475,89.12109375481054,75.05859375834585,43.24218752064164,64.86328122366668,-4.746093776022332,29.267578137827087
3,0.099928267,16390546608956,preflight,29.267578137827087,24.646419492015443,75.05859375834585,84.0,61.0,13.0,0.0,-1.0,29.267578137827087,-4.746093776022332,-4.746093776022332,7.7620599924847475,89.12109375481054,75.05859375834585,43.24218752064164,64.86328122366668,-4.746093776022332,29.267578137827087
4,0.117606318,16390564287007,preflight,29.267578137827087,24.646419492015443,75.05859375834585,84.0,61.0,13.0,0.0,-1.0,29.267578137827087,-4.746093776022332,-4.746093776022332,7.7620599924847475,89.12109375481054,75.05859375834585,43.24218752064164,64.86328122366668,-4.746093776022332,29.267578137827087
5,0.144076845,16390590757534,preflight,29.267578137827087,24.646419492015443,75.05859375834585,84.0,61.0,13.0,0.0,-1.0,29.267578137827087,-4.746093776022332,-4.746093776022332,7.7620599924847475,89.12109375481054,75.05859375834585,43.24218752064164,64.86328122366668,-4.746093776022332,29.267578137827087
6,0.160649372,16390607330061,preflight,29.267578137827087,24.646419492015443,75.05859375834585,84.0,61.0,13.0,0.0,-1.0,29.267578137827087,-4.746093776022332,-4.746093776022332,7.7620599924847475,89.12109375481054,75.05859375834585,43.24218752064164,64.86328122366668,-4.746093776022332,29.267578137827087
7,0.182747666,16390629428355,preflight,29.267578137827087,24.646419492015443,75.05859375834585,84.0,61.0,13.0,0.0,-1.0,29.267578137827087,-4.746093776022332,-4.746093776022332,7.7620599924847475,89.12109375481054,75.05859375834585,43.24218752064164,64.86328122366668,-4.746093776022332,29.267578137827087
8,0.199226139,16390645906828,preflight,29.267578137827087,24.646419492015443,75.05859375834585,84.0,61.0,13.0,0.0,-1.0,29.267578137827087,-4.746093776022332,-4.746093776022332,7.7620599924847475,89.12109375481054,75.05859375834585,43.24218752064164,64.86328122366668,-4.746093776022332,29.267578137827087
9,0.21597275,16390662653439,preflight,29.267578137827087,24.646419492015443,75.05859375834585,84.0,61.0,13.0,0.0,-1.0,29.267578137827087,-4.746093776022332,-4.746093776022332,7.7620599924847475,89.12109375481054,75.05859375834585,43.24218752064164,64.86328122366668,-4.746093776022332,29.267578137827087
10,0.235575827,16390682256516,preflight,29.267578137827087,24.646419492015443,75.05859375834585,84.0,61.0,13.0,0.0,-1.0,29.267578137827087,-4.746093776022332,-4.746093776022332,7.7620599924847475,89.12109375481054,75.05859375834585,43.24218752064164,64.86328122366668,-4.746093776022332,29.267578137827087
11,0.261729581,16390708410270,preflight,29.267578137827087,24.646419492015443,75.05859375834585,84.0,61.0,13.0,0.0,-1.0,29.267578137827087,-4.746093776022332,-4.746093776022332,7.7620599924847475,89.12109375481054,75.05859375834585,43.24218752064164,64.86328122366668,-4.746093776022332,29.267578137827087
12,0.278289646,16390724970335,preflight,29.267578137827087,24.646419492015443,75.05859375834585,84.0,61.0,13.0,0.0,-1.0,29.267578137827087,-4.746093776022332,-4.746093776022332,7.7620599924847475,89.12109375481054,75.05859375834585,43.24218752064164,64.86328122366668,-4.746093776022332,29.267578137827087
13,0.300304954,16390746985643,preflight,29.267578137827087,24.646419492015443,75.05859375834585,84.0,61.0,13.0,0.0,-1.0,29.267578137827087,-4.746093776022332,-4.746093776022332,7.7620599924847475,89.12109375481054,75.05859375834585,43.24218752064164,64.86328122366668,-4.746093776022332,29.267578137827087
14,0.316855589,16390763536278,preflight,29.267578137827087,24.646419492015443,75.05859375834585,84.0,61.0,13.0,0.0,-1.0,29.267578137827087,-4.746093776022332,-4.746093776022332,7.7620599924847475,89.12109375481054,75.05859375834585,43.24218752064164,64.86328122366668,-4.746093776022332,29.267578137827087
15,0.334369297,16390781049986,preflight,29.267578137827087,24.646419492015443,75.05859375834585,84.0,61.0,13.0,0.0,-1.0,29.267578137827087,-4.746093776022332,-4.746093776022332,7.7620599924847475,89.12109375481054,75.05859375834585,43.24218752064164,64.86328122366668,-4.746093776022332,29.267578137827087
16,0.361289089,16390807969778,preflight,29.267578137827087,24.646419492015443,75.05859375834585,84.0,61.0,13.0,0.0,-1.0,29.267578137827087,-4.746093776022332,-4.746093776022332,7.7620599924847475,89.12109375481054,75.05859375834585,43.24218752064164,64.86328122366668,-4.746093776022332,29.267578137827087
17,0.3777553,16390824435989,preflight,29.267578137827087,24.646419492015443,75.05859375834585,84.0,61.0,13.0,0.0,-1.0,29.267578137827087,-4.746093776022332,-4.746093776022332,7.7620599924847475,89.12109375481054,75.05859375834585,43.24218752064164,64.86328122366668,-4.746093776022332,29.267578137827087
18,0.400037453,16390846718142,preflight,29.267578137827087,24.646419492015443,75.05859375834585,84.0,61.0,13.0,0.0,-1.0,29.267578137827087,-4.746093776022332,-4.746093776022332,7.7620599924847475,89.12109375481054,75.05859375834585,43.24218752064164,64.86328122366668,-4.746093776022332,29.267578137827087
19,0.41629774,16390862978429,preflight,29.267578137827087,24.646419492015443,75.05859375834585,84.0,61.0,13.0,0.0,-1.0,29.267578137827087,-4.746093776022332,-4.746093776022332,7.7620599924847475,89.12109375481054,75.05859375834585,43.24218752064164,64.86328122366668,-4.746093776022332,29.267578137827087
20,0.433032269,16390879712958,preflight,29.267578137827087,24.646419492015443,75.05859375834585,84.0,61.0,13.0,0.0,-1.0,29.267578137827087,-4.746093776022332,-4.746093776022332,7.7620599924847475,89.12109375481054,75.05859375834585,43.24218752064164,64.86328122366668,-4.746093776022332,29.267578137827087
21,0.452637838,16390899318527,preflight,29.267578137827087,24.646419492015443,75.05859375834585,84.0,61.0,13.0,0.0,-1.0,29.267578137827087,-4.746093776022332,-4.746093776022332,7.7620599924847475,89.12109375481054,75.05859375834585,43.24218752064164,64.86328122366668,-4.746093776022332,29.267578137827087
22,0.477883056,16390924563745,preflight,29.267578137827087,24.646419492015443,75.05859375834585,84.0,61.0,13.0,0.0,-1.0,29.267578137827087,-4.746093776022332,-4.746093776022332,7.7620599924847475,89.12109375481054,75.05859375834585,43.24218752064164,64.86328122366668,-4.746093776022332,29.267578137827087
