sample,host_elapsed_s,wall_time_ns,host_mono_ns,phase,P_command_I0,b_deg,s_deg,e_deg,t_deg,r_deg,gripper_open_deg,tB_raw,tS_raw,tE_raw,tT_raw,tR_raw,tG_raw
0,0.031136509,1789106157299053631,6521217330739,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
1,0.048927744,1789106157316844730,6521235121974,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
2,0.067233085,1789106157335150019,6521253427315,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
3,0.085040454,1789106157352957633,6521271234684,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
4,0.103056028,1789106157370972979,6521289250258,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
5,0.12113856,1789106157389055599,6521307332790,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
6,0.139182063,1789106157407099129,6521325376293,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
7,0.15723508,1789106157425152235,6521343429310,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
8,0.175185035,1789106157443102111,6521361379265,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
9,0.192978997,1789106157460896116,6521379173227,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
10,0.211082077,1789106157478999294,6521397276307,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
11,0.229604863,1789106157497521880,6521415799093,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
12,0.246151579,1789106157514068904,6521432345809,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
13,0.264056821,1789106157531974142,6521450251051,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
14,0.281984751,1789106157549902237,6521468178981,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
15,0.299978785,1789106157567896418,6521486173015,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
16,0.318005273,1789106157585922569,6521504199503,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
17,0.336172773,1789106157604090111,6521522367003,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
18,0.354129221,1789106157622046656,6521540323451,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
19,0.372091988,1789106157640009398,6521558286218,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
20,0.390208816,1789106157658125960,6521576403046,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
21,0.410267453,1789106157678185195,6521596461683,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
22,0.426514867,1789106157694432220,6521612709097,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
23,0.443184257,1789106157711101837,6521629378487,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
24,0.461049811,1789106157728967386,6521647244041,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
25,0.479063203,1789106157746980828,6521665257433,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
26,0.497062473,1789106157764980064,6521683256703,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
27,0.514836065,1789106157782753448,6521701030295,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
28,0.533094467,1789106157801011901,6521719288697,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
29,0.551170538,1789106157819087956,6521737364768,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
30,0.568967245,1789106157836884656,6521755161475,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
31,0.587168907,1789106157855086429,6521773363137,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
32,0.605104515,1789106157873021667,6521791298745,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
33,0.623623517,1789106157891540720,6521809817747,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
34,0.64018179,1789106157908099063,6521826376020,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
35,0.658058364,1789106157925975576,6521844252594,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
36,0.676146986,1789106157944064152,6521862341216,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
37,0.694168922,1789106157962085828,6521880363152,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
38,0.712055527,1789106157979972627,6521898249757,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
39,0.730193148,1789106157998110115,6521916387378,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
40,0.748056139,1789106158015973380,6521934250369,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
41,0.765976246,1789106158033893730,6521952170476,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
42,0.78407578,1789106158051992478,6521970270010,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
43,0.802032107,1789106158069949275,6521988226337,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
44,0.820163442,1789106158088080775,6522006357672,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
45,0.838337119,1789106158106254369,6522024531349,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
46,0.855097255,1789106158123014683,6522041291485,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
47,0.87307694,1789106158140994348,6522059271170,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
48,0.891082387,1789106158158999380,6522077276617,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
49,0.909076892,1789106158176994158,6522095271122,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
50,0.92694358,1789106158194860837,6522113137810,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
51,0.945034373,1789106158212951447,6522131228603,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
52,0.963091755,1789106158231008724,6522149285985,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
53,0.981137547,1789106158249054573,6522167331777,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
54,0.999296019,1789106158267213235,6522185490249,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
55,1.019458778,1789106158287376248,6522205653008,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
56,1.035493516,1789106158303411001,6522221687746,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
57,1.052275604,1789106158320193141,6522238469834,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
58,1.069941117,1789106158337858682,6522256135347,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
59,1.08823136,1789106158356148579,6522274425590,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
60,1.106266787,1789106158374183890,6522292461017,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
61,1.124239438,1789106158392156580,6522310433668,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
62,1.141913677,1789106158409830827,6522328107907,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
63,1.16023221,1789106158428149433,6522346426440,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
64,1.178265569,1789106158446182654,6522364459799,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
65,1.196132356,1789106158464049630,6522382326586,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
66,1.214082277,1789106158481999660,6522400276507,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
67,1.232442704,1789106158500360172,6522418636934,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
68,1.24913032,1789106158517047610,6522435324550,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
69,1.267180204,1789106158535097207,6522453374434,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
70,1.285142221,1789106158553059345,6522471336451,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
71,1.303216447,1789106158571133525,6522489410677,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
72,1.321027199,1789106158588944449,6522507221429,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
73,1.339059891,1789106158606977531,6522525254121,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
74,1.356896789,1789106158624814385,6522543091019,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
75,1.375149183,1789106158643066209,6522561343413,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
76,1.393153058,1789106158661070520,6522579347288,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
77,1.410944736,1789106158678861918,6522597138966,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
78,1.428986916,1789106158696904416,6522615181146,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
79,1.447586265,1789106158715503736,6522633780495,preflight,,0.0,1.054687473951752,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164,9.0,48.0,57.0,25.0,0.0,
