sample,host_elapsed_s,mono_ns,phase,door_deg,lip_height_cm,shoulder_deg,shoulder_load_raw,elbow_load_raw,wrist_load_raw,arm_target_error_deg,torque_command,target_door_deg,q_0_deg,q_1_deg,q_2_deg,q_3_deg,q_4_deg,q_5_deg
0,0.031884135,7163729769822,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
1,0.049651261,7163747536948,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
2,0.06776584,7163765651527,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
3,0.085728675,7163783614362,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
4,0.103811242,7163801696929,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
5,0.121974753,7163819860440,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
6,0.139843309,7163837728996,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
7,0.157786297,7163855671984,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
8,0.175703537,7163873589224,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
9,0.193864232,7163891749919,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
10,0.211664991,7163909550678,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
11,0.230414239,7163928299926,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
12,0.247187272,7163945072959,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
13,0.264731272,7163962616959,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
14,0.282861665,7163980747352,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
15,0.300701119,7163998586806,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
16,0.318896227,7164016781914,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
17,0.336667494,7164034553181,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
18,0.354674382,7164052560069,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
19,0.372690499,7164070576186,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
20,0.390765365,7164088651052,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
21,0.410644295,7164108529982,preflight,2.4609374730134164,70.7201291703105,1.1425781111050095,52.0,57.0,25.0,0.0,-1.0,2.4609374730134164,0.0,1.1425781111050095,91.14257812285656,0.3515624913172506,0.0,2.4609374730134164
