trial,target_tcp_x_m,target_tcp_y_m,target_tcp_z_m,actual_tcp_x_m,actual_tcp_y_m,actual_tcp_z_m,commanded_tcp_x_m,commanded_tcp_y_m,commanded_tcp_z_m,tcp_pose_error_mm,commanded_tcp_pose_error_mm,jaw_tangent_error_deg,fixed_jaw_face_gap_mm,fixed_jaw_radius_gap_mm,fixed_jaw_penetration_mm,contact_point_z_m,contact_point_below_top_mm,object_disp_xy_mm,ik_failure_steps,arm_joint_err_max_rad,pass_tcp_pose,pass_jaw_tangent,pass_fixed_jaw_gap,pass_no_penetration,pass_contact_height,pass_object_displacement,pass_all
1,0.2929999523162842,0.011000000000000001,0.03288299962878227,0.3125011920928955,0.011993646621704102,0.051865383982658386,0.29243043602773955,0.010997405701048159,0.0330245337970807,27.23263854627371,0.5868453408698275,1.4020408283266637,2.990970010484886,6.474759207921045,0.0,0.05193251272168319,25.950486907099076,39.45588693022728,0,0.0611785473194133,False,True,True,True,True,False,False
2,0.2929999523162842,0.011000000000000001,0.03288299962878227,0.29017066955566406,0.011627729050815105,0.03195264935493469,0.29242939001221263,0.01099736625985842,0.033025463630871776,3.0437536583678475,0.5880852585347799,1.3873099681463767,2.6251572286678204,5.03648317318502,0.0,0.03201290188934538,45.87009773943689,10.015085339546204,0,0.007193500305664902,True,True,True,True,True,False,False
3,0.2929999523162842,0.011000000000000001,0.03288299962878227,0.2862570285797119,0.01145625114440918,0.029223322868347168,0.29279324608644003,0.010997364836768211,0.033025020161256385,7.685598194992571,0.25080717929491,1.9893549282566259,2.451406809595519,6.97781037429546,0.0,0.029242380204063185,48.64061942471909,8.961974643170834,0,0.021273393051670864,False,True,True,True,True,False,False
4,0.2929999523162842,0.011000000000000001,0.03288299962878227,0.29125726222991943,0.01166069507598877,0.03261043131351471,0.2927921353727877,0.01099732300820504,0.03302599749137991,1.883555204138585,0.25227650900704235,2.685052557428682,2.651867784916745,4.66388447546677,0.0,0.03258378360696354,45.29921602181873,10.909702628850937,0,0.004908335191630142,True,True,True,True,True,False,False
5,0.2929999523162842,0.011000000000000001,0.03288299962878227,0.34296154975891113,0.014208261854946613,0.08976408839225769,0.2920661827837905,0.010997392231462077,0.0330253331368745,75.7754077657612,0.9445587159071005,2.8561972929921557,5.19810434032816,31.003776114286534,0.0,0.08970479465971468,-11.821795030932405,35.45141965150833,0,0.16636509023051338,False,True,False,True,False,False,False
6,0.2929999523162842,0.011000000000000001,0.03288299962878227,0.28774571418762207,0.011436700820922852,0.030010029673576355,0.2927925421473088,0.010997338326998752,0.03302564123019143,6.004305312290275,0.2517393277779991,3.2056357620201816,2.423956434657589,6.2081946337889455,0.0,0.029949778612568926,47.933221016213345,9.51429270207882,0,0.016212273984467895,False,True,True,True,True,False,False
7,0.29300001192092895,0.011000000000000001,0.03288299962878227,0.32052385807037354,0.01325976848602295,0.09753429889678955,0.29279250818638514,0.010997334801817424,0.03302572330572551,70.30262553781442,0.25186296093546245,3.0932920853165333,4.247658911962861,12.243093562247644,0.0,0.09744905279707458,-19.56605316829231,9.709836915135384,0,0.16994506450102342,False,True,True,True,False,False,False
8,0.29300001192092895,0.011000000000000001,0.03288299962878227,0.2860264182090759,0.011508360505104065,0.029247641563415527,0.29279374308227585,0.010997381306972705,0.03302463129486899,7.8806895589518495,0.2502263379242269,1.2558903001924584,2.506171495766714,7.09736340973827,0.0,0.02931303905582017,48.5699605729621,8.87192226946354,0,0.022236689386772257,False,True,True,True,True,False,False
9,0.29300001192092895,0.011000000000000001,0.03288299962878227,0.3387962579727173,0.014068841934204102,0.09839241206645966,0.29279228445379585,0.010997326376234079,0.0330259192497246,79.98873083867996,0.2521584163098164,1.4947140531341787,5.065325754219439,27.450878785005045,0.0,0.09850514514551623,-20.622145516733955,28.615061193704605,0,0.14196906162252,False,True,False,True,False,False,False
10,0.2929999523162842,0.011000000000000001,0.03288299962878227,0.33956408500671387,0.01407003402709961,0.09851357340812683,0.292612121694595,0.010997395825248231,0.033024527336240866,80.52959565740711,0.41285525892791713,2.8275097399685523,5.060091631291685,27.954399203033756,0.0,0.09845655660693689,-20.57355697815462,29.193906113505363,0,0.14562812294607252,False,True,False,True,False,False,False
