step,phase,physics_time_s,object_speed_mps,object_ang_speed_radps,object_tilt_deg,object_disp_xy_mm,object_z_delta_mm,tcp_error_mm,commanded_tcp_error_mm,joint_tracking_error_max_rad,max_robot_filter,max_robot_filter_force_n,witness_source,object_pos_w_m_x,object_pos_w_m_y,object_pos_w_m_z,object_pos_local_m_x,object_pos_local_m_y,object_pos_local_m_z,object_lin_vel_w_mps_x,object_lin_vel_w_mps_y,object_lin_vel_w_mps_z,object_ang_vel_w_radps_x,object_ang_vel_w_radps_y,object_ang_vel_w_radps_z,object_disp_w_m_x,object_disp_w_m_y,object_disp_w_m_z,target_tcp_local_m_x,target_tcp_local_m_y,target_tcp_local_m_z,actual_tcp_local_m_x,actual_tcp_local_m_y,actual_tcp_local_m_z,commanded_tcp_local_m_x,commanded_tcp_local_m_y,commanded_tcp_local_m_z,object_quat_w,object_quat_x,object_quat_y,object_quat_z,actual_base_link_to_link1_rad,actual_link1_to_link2_rad,actual_link2_to_link3_rad,actual_link3_to_link4_rad,actual_link4_to_link5_rad,actual_link5_to_gripper_link_rad,commanded_base_link_to_link1_rad,commanded_link1_to_link2_rad,commanded_link2_to_link3_rad,commanded_link3_to_link4_rad,commanded_link4_to_link5_rad,commanded_link5_to_gripper_link_rad,sensor_net_force_norm_n,sensor_net_force_x_n,sensor_net_force_y_n,sensor_net_force_z_n,support_plane_force_norm_n,support_plane_force_x_n,support_plane_force_y_n,support_plane_force_z_n,support_plane_contact_point_x_w_m,support_plane_contact_point_y_w_m,support_plane_contact_point_z_w_m,link4_force_norm_n,link4_force_x_n,link4_force_y_n,link4_force_z_n,link4_contact_point_x_w_m,link4_contact_point_y_w_m,link4_contact_point_z_w_m,link5_force_norm_n,link5_force_x_n,link5_force_y_n,link5_force_z_n,link5_contact_point_x_w_m,link5_contact_point_y_w_m,link5_contact_point_z_w_m,gripper_link_force_norm_n,gripper_link_force_x_n,gripper_link_force_y_n,gripper_link_force_z_n,gripper_link_contact_point_x_w_m,gripper_link_contact_point_y_w_m,gripper_link_contact_point_z_w_m
0,robot_free_baseline,0.005,0.011753698737547365,0.6605559252247037,0.6726429081720693,0.4594832579910044,12.256849185943608,315.001142819071,0.8178119166311656,0.00029969215393066406,link4,0.0,offline_hull_cylinder_witness,0.3003189265727997,-0.00033077289117500186,0.045139849185943604,0.3003189265727997,-0.00033077289117500186,0.045139849185943604,-0.008370423689484596,0.006235169712454081,-0.005404451861977577,-0.04723124951124191,-0.1845620721578598,0.6324872970581055,0.0003189265727996937,-0.00033077289117500186,0.012256849185943608,0.293,0.011,0.032882999999999996,0.3436913788318634,-1.3210810720920563e-06,0.34358394145965576,0.2924208601963537,0.010971623390107113,0.03345972193198064,0.9999827146530151,0.004213444422930479,0.004086858127266169,-0.0001387953234370798,1.043770723185844e-07,0.00012815323134418577,1.5710960626602173,3.371476850588806e-05,-1.0302798045813688e-06,2.9080902130829145e-09,0.0,0.0,1.5707963705062866,0.0,0.0,0.0,6.284917354583797,8.444342256552773e-07,0.0,6.28491735458374,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan
1,robot_free_baseline,0.01,0.02220994039087194,0.5281337164431863,0.5034856833022437,0.34211277697841364,12.26473935079575,314.84250737458586,0.8178119166311656,0.0006405115127563477,link4,0.0,offline_hull_cylinder_witness,0.3002323508262634,-0.0002511060447432101,0.045147739350795746,0.3002323508262634,-0.0002511060447432101,0.045147739350795746,-0.015234921127557755,0.013653530739247799,-0.008646370843052864,-0.35335350036621094,-0.39251065254211426,-0.001383424736559391,0.00023235082626343884,-0.0002511060447432101,0.01226473935079575,0.293,0.011,0.032882999999999996,0.3437190055847168,-1.3266690075397491e-06,0.34341859817504883,0.2924208601963537,0.010971623390107113,0.03345972193198064,0.9999902844429016,0.003224712796509266,0.0029843030497431755,6.857185780972941e-06,-5.974286665377804e-08,0.0002790427242871374,1.571436882019043,7.246465247590095e-05,-2.2182480279298034e-06,2.0306261117042368e-09,0.0,0.0,1.5707963705062866,0.0,0.0,0.0,6.596362590789854,8.862796789799177e-07,0.0,6.596362590789795,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan
2,robot_free_baseline,0.015,0.03139518228923877,0.7420797019057391,0.29153998994462454,0.19806351297005684,12.203108148097996,314.69123172111966,0.8178119166311656,0.0009649991989135742,link4,0.0,offline_hull_cylinder_witness,0.3001289963722229,-0.0001502966770203784,0.04508610814809799,0.3001289963722229,-0.0001502966770203784,0.04508610814809799,-0.020670847967267036,0.02015811763703823,-0.01232979353517294,-0.5182561278343201,-0.5311163663864136,-0.002876681974157691,0.0001289963722229115,-0.0001502966770203784,0.012203108148097996,0.293,0.011,0.032882999999999996,0.3437453806400299,-1.2777745723724365e-06,0.34326091408729553,0.2924208601963537,0.010971623390107113,0.03345972193198064,0.9999967217445374,0.0019305477617308497,0.0016570314764976501,1.0930515372820082e-06,-2.711843194447283e-07,0.0004237161483615637,1.5717613697052002,0.0001094349063350819,-3.3522383091622032e-06,3.861007069616562e-10,0.0,0.0,1.5707963705062866,0.0,0.0,0.0,6.532786846160947,8.777377047408663e-07,0.0,6.532786846160889,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan
3,robot_free_baseline,0.02,0.03755258788958797,0.8901157533218279,0.03784027972472309,0.0256040172150262,12.127793954133992,314.55302979891064,0.8178119166311656,0.0012613534927368164,link4,0.0,offline_hull_cylinder_witness,0.30000823736190796,-2.4242763174697757e-05,0.04501079395413399,0.30000823736190796,-2.4242763174697757e-05,0.04501079395413399,-0.023777596652507782,0.025335432961583138,-0.014245651662349701,-0.6514756679534912,-0.6065155863761902,-0.0049347602762281895,8.237361907970087e-06,-2.4242763174697757e-05,0.012127793954133992,0.293,0.011,0.032882999999999996,0.3437694311141968,-1.451931893825531e-06,0.3431168496608734,0.2924208601963537,0.010971623390107113,0.03345972193198064,0.9999999403953552,0.0003125987423118204,0.00010642572306096554,-2.5016377094289055e-06,-4.7375320377796015e-07,0.0005559994606301188,1.5720577239990234,0.0001432026911061257,-4.388305569591466e-06,-2.5845413049313537e-12,0.0,0.0,1.5707963705062866,0.0,0.0,0.0,6.787316322326721,9.119359560827434e-07,0.0,6.78731632232666,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan
4,robot_free_baseline,0.025,0.01066186462119801,0.2632270031401208,0.08565152665763773,0.05821559522805174,12.135326491117482,314.42809181690745,0.8178119166311656,0.0015288591384887695,link4,0.0,offline_hull_cylinder_witness,0.2999469041824341,2.3872362362453714e-05,0.04501832649111748,0.2999469041824341,2.3872362362453714e-05,0.04501832649111748,-0.009703579358756542,0.0032000630162656307,0.0030455708038061857,-0.08746713399887085,-0.24822138249874115,0.004909269046038389,-5.3095817565906867e-05,2.3872362362453714e-05,0.012135326491117482,0.293,0.011,0.032882999999999996,0.3437911570072174,-1.462642103433609e-06,0.3429866135120392,0.2924208601963537,0.010971623390107113,0.03345972193198064,0.9999997019767761,-0.0003107909287791699,-0.0006797729292884469,-2.5567373995727394e-06,-6.55657572679047e-07,0.0006754205096513033,1.5723252296447754,0.00017368387489113957,-5.3237067731970455e-06,2.4152148380210403e-14,0.0,0.0,1.5707963705062866,0.0,0.0,0.0,9.553137779235927,1.283548499486642e-06,0.0,9.55313777923584,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan
5,robot_free_baseline,0.03,0.004337454879998966,0.10200593157375498,0.05513315208910701,0.03738675792282922,12.133098767519002,314.31588587384704,0.8178119166311656,0.0017696619033813477,link4,0.0,offline_hull_cylinder_witness,0.29996421933174133,1.0840361937880516e-05,0.045016098767519,0.29996421933174133,1.0840361937880516e-05,0.045016098767519,0.003142492612823844,-0.002490177284926176,-0.0016544703394174576,0.06329654902219772,0.07995139807462692,0.002555563347414136,-3.578066825865589e-05,1.0840361937880516e-05,0.012133098767519002,0.293,0.011,0.032882999999999996,0.34381067752838135,-1.5706755220890045e-06,0.3428696393966675,0.2924208601963537,0.010971623390107113,0.03345972193198064,0.9999998807907104,-0.00013980563380755484,-0.0004603673005476594,-4.1458392274762446e-08,-8.160769766618614e-07,0.0007828454836271703,1.572566032409668,0.00020110806508455426,-6.165415925352136e-06,-3.349645647660049e-12,0.0,0.0,1.5707963705062866,0.0,0.0,0.0,6.386396884918271,8.580689154769061e-07,0.0,6.386396884918213,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan
6,robot_free_baseline,0.035,0.010460781906628202,0.19410712606113445,0.009567602455787555,0.008318159195486119,12.118696795225148,314.2147703282259,0.8178119166311656,0.001986265182495117,link4,0.0,offline_hull_cylinder_witness,0.30000823736190796,1.1565643944777548e-06,0.04500169679522514,0.30000823736190796,1.1565643944777548e-06,0.04500169679522514,-0.009986575692892075,0.0014619054272770882,-0.002749381121248007,-0.029245462268590927,-0.18862144649028778,-0.035273633897304535,8.237361907970087e-06,1.1565643944777548e-06,0.012118696795225148,0.293,0.011,0.032882999999999996,0.34382808208465576,-1.5301629900932312e-06,0.3427642583847046,0.2924208601963537,0.010971623390107113,0.03345972193198064,0.9999999403953552,-1.2738829354930203e-05,8.251555118476972e-05,1.1265842658758629e-05,-9.56743747337896e-07,0.0008793835295364261,1.5727826356887817,0.00022575877665076405,-6.921894510014681e-06,-1.8360334953781976e-12,0.0,0.0,1.5707963705062866,0.0,0.0,0.0,6.905533313751283,9.278194852413435e-07,0.0,6.905533313751221,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan
7,robot_free_baseline,0.04,0.0021393443256458875,0.06027815642575624,0.005778964252854365,0.004402233807793924,12.116830424785618,314.12404077799187,0.8178119166311656,0.002180814743041992,link4,0.0,offline_hull_cylinder_witness,0.30000215768814087,3.837192252831301e-06,0.044999830424785614,0.30000215768814087,3.837192252831301e-06,0.044999830424785614,0.00043628038838505745,0.0017525468720123172,-0.0011467488948255777,-0.05239717662334442,0.028165681287646294,-0.009730694815516472,2.157688140880243e-06,3.837192252831301e-06,0.012116830424785618,0.293,0.011,0.032882999999999996,0.3438436985015869,-1.569744199514389e-06,0.34266969561576843,0.2924208601963537,0.010971623390107113,0.03345972193198064,0.9999999403953552,-4.801201066584326e-05,1.5431460269610398e-05,7.189253210526658e-06,-1.0798333960337914e-06,0.000966113992035389,1.5729771852493286,0.0002479114627931267,-7.601689503644593e-06,-3.2863343123190614e-12,0.0,0.0,1.5707963705062866,0.0,0.0,0.0,7.293981552124089,9.800108955460018e-07,0.0,7.293981552124023,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan
8,robot_free_baseline,0.045,0.001430912078279252,0.028985922395042465,0.0017607381586870888,0.0013917686436141809,12.11672984194756,314.0426368183023,0.8178119166311656,0.0023555755615234375,link4,0.0,offline_hull_cylinder_witness,0.30000028014183044,1.3632829904963728e-06,0.044999729841947556,0.30000028014183044,1.3632829904963728e-06,0.044999729841947556,-0.0012701494852080941,0.0005200941814109683,-0.0004046377434860915,-0.01690683886408806,-0.023196278139948845,-0.004034250508993864,2.8014183045543817e-07,1.3632829904963728e-06,0.01211672984194756,0.293,0.011,0.032882999999999996,0.34385770559310913,-1.6642734408378601e-06,0.34258484840393066,0.2924208601963537,0.010971623390107113,0.03345972193198064,0.9999999403953552,-1.53244000102859e-05,1.1208737760171061e-06,1.220463332174404e-06,-1.1874251413246384e-06,0.001044024946168065,1.57315194606781,0.0002678166492842138,-8.212521606765222e-06,1.097191022932098e-12,0.0,0.0,1.5707963705062866,0.0,0.0,0.0,7.170064926147526,9.63361571848509e-07,0.0,7.170064926147461,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan
9,robot_free_baseline,0.05,0.0020282673757614283,0.036316067833831026,0.0029288788000537643,0.002258569761999233,12.116554753303532,313.9694465382222,0.8178119166311656,0.0025124549865722656,link4,0.0,offline_hull_cylinder_witness,0.29999977350234985,2.24718405661406e-06,0.04499955475330353,0.29999977350234985,2.24718405661406e-06,0.04499955475330353,-0.001896824804134667,-0.0005395510816015303,-0.0004741401062346995,0.0041860598139464855,-0.03550656512379646,-0.006373187527060509,-2.2649765013538214e-07,2.24718405661406e-06,0.012116554753303532,0.293,0.011,0.032882999999999996,0.3438703417778015,-1.7140991985797882e-06,0.34250855445861816,0.2924208601963537,0.010971623390107113,0.03345972193198064,1.0,-2.5162831661873497e-05,-4.484323198994389e-06,1.4990732779551763e-06,-1.2813646890208474e-06,0.0011140118585899472,1.5733088254928589,0.0002857019135262817,-8.761723620409612e-06,-2.0082160760714896e-12,0.0,0.0,1.5707963705062866,0.0,0.0,0.0,7.053191184997622,9.476585773882107e-07,0.0,7.053191184997559,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan
