step,phase,physics_time_s,object_speed_mps,object_ang_speed_radps,object_tilt_deg,object_disp_xy_mm,object_z_delta_mm,tcp_error_mm,commanded_tcp_error_mm,joint_tracking_error_max_rad,max_robot_filter,max_robot_filter_force_n,witness_source,object_pos_w_m_x,object_pos_w_m_y,object_pos_w_m_z,object_pos_local_m_x,object_pos_local_m_y,object_pos_local_m_z,object_lin_vel_w_mps_x,object_lin_vel_w_mps_y,object_lin_vel_w_mps_z,object_ang_vel_w_radps_x,object_ang_vel_w_radps_y,object_ang_vel_w_radps_z,object_disp_w_m_x,object_disp_w_m_y,object_disp_w_m_z,target_tcp_local_m_x,target_tcp_local_m_y,target_tcp_local_m_z,actual_tcp_local_m_x,actual_tcp_local_m_y,actual_tcp_local_m_z,commanded_tcp_local_m_x,commanded_tcp_local_m_y,commanded_tcp_local_m_z,object_quat_w,object_quat_x,object_quat_y,object_quat_z,actual_base_link_to_link1_rad,actual_link1_to_link2_rad,actual_link2_to_link3_rad,actual_link3_to_link4_rad,actual_link4_to_link5_rad,actual_link5_to_gripper_link_rad,commanded_base_link_to_link1_rad,commanded_link1_to_link2_rad,commanded_link2_to_link3_rad,commanded_link3_to_link4_rad,commanded_link4_to_link5_rad,commanded_link5_to_gripper_link_rad,sensor_net_force_norm_n,sensor_net_force_x_n,sensor_net_force_y_n,sensor_net_force_z_n,support_plane_force_norm_n,support_plane_force_x_n,support_plane_force_y_n,support_plane_force_z_n,support_plane_contact_point_x_w_m,support_plane_contact_point_y_w_m,support_plane_contact_point_z_w_m,link4_force_norm_n,link4_force_x_n,link4_force_y_n,link4_force_z_n,link4_contact_point_x_w_m,link4_contact_point_y_w_m,link4_contact_point_z_w_m,link5_force_norm_n,link5_force_x_n,link5_force_y_n,link5_force_z_n,link5_contact_point_x_w_m,link5_contact_point_y_w_m,link5_contact_point_z_w_m,gripper_link_force_norm_n,gripper_link_force_x_n,gripper_link_force_y_n,gripper_link_force_z_n,gripper_link_contact_point_x_w_m,gripper_link_contact_point_y_w_m,gripper_link_contact_point_z_w_m
0,canonical_target_settle,0.005,0.3157078117275539,8.004216291247149,2.4296037321189945,1.6556388268460678,12.707490102767949,9.72629080185,0.8178119166311656,0.03197073936462402,gripper_link,66.8662656659094,sensor_mean_gripper_link,0.30136221647262573,-0.000941013393457979,0.045590490102767944,0.30136221647262573,-0.000941013393457979,0.045590490102767944,0.23911909759044647,-0.17006660997867584,0.11649389564990997,4.47827672958374,6.606815338134766,0.6020855903625488,0.0013622164726257435,-0.000941013393457979,0.012707490102767949,0.293,0.011,0.032882999999999996,0.2837730348110199,0.014073396101593971,0.03301747143268585,0.2924208601963537,0.010971623390107113,0.03345972193198064,0.999775230884552,0.012057986110448837,0.01743774116039276,-0.00015875215467531234,0.04955723136663437,0.5274898409843445,2.0007100105285645,0.18934638798236847,-6.972266874072375e-06,4.492589980586992e-11,0.03750238195061684,0.542945146560669,1.9687392711639404,0.18299327790737152,0.0,0.0,125.03320644409571,62.33090591430664,-24.206560134887695,105.65132904052734,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.28867268562316895,0.008042929694056511,0.07603246718645096,66.8662656659094,62.33089065551758,-24.206560134887695,0.0007936945767141879,0.2915170192718506,0.0033204699866473675,0.06663494557142258
1,canonical_target_settle,0.01,0.2407973650478928,5.838741615530323,4.194391808842315,2.851959018484368,13.257395104885106,12.796867674332708,0.8178119166311656,0.0438232421875,gripper_link,21.76457349423012,sensor_mean_gripper_link,0.30243760347366333,-0.0014804592356085777,0.0461403951048851,0.30243760347366333,-0.0014804592356085777,0.0461403951048851,0.20262779295444489,-0.09662363678216934,0.08711613714694977,2.532183885574341,5.259682655334473,0.12118905782699585,0.002437603473663341,-0.0014804592356085777,0.013257395104885106,0.293,0.011,0.032882999999999996,0.2808424234390259,0.0149008147418499,0.03374136984348297,0.2924208601963537,0.010971623390107113,0.03345972193198064,0.9993300437927246,0.01897684670984745,0.03128991276025772,0.0004607893351931125,0.053011488169431686,0.5186871290206909,2.0125625133514404,0.1915893405675888,-0.0004811963881365955,0.0001909646380227059,0.03750238195061684,0.542945146560669,1.9687392711639404,0.18299327790737152,0.0,0.0,40.55352764154013,20.23002815246582,-7.977198123931885,34.23008728027344,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,21.76457349423012,20.230024337768555,-7.977198123931885,-0.8983789682388306,0.2885792553424835,0.003917424939572811,0.06674576550722122
2,canonical_target_settle,0.015,0.2372580814427524,0.6973137967330956,4.358904082050333,4.021912646359811,13.476635889530186,11.59701395295376,0.8178119166311656,0.04009270668029785,gripper_link,1.1259847584239597,sensor_mean_gripper_link,0.30350950360298157,-0.0019644759595394135,0.04635963588953018,0.30350950360298157,-0.0019644759595394135,0.04635963588953018,0.2118200808763504,-0.09644852578639984,0.04605792462825775,0.103387750685215,0.5693339109420776,-0.3891226053237915,0.0035095036029815785,-0.0019644759595394135,0.013476635889530186,0.293,0.011,0.032882999999999996,0.28215333819389343,0.014733332209289074,0.03458678722381592,0.2924208601963537,0.010971623390107113,0.03345972193198064,0.9992762804031372,0.019258486106991768,0.03279251232743263,-0.0007036470924504101,0.05217384174466133,0.5177380442619324,2.0088319778442383,0.19048644602298737,-0.00039151348755694926,0.00016552640590816736,0.03750238195061684,0.542945146560669,1.9687392711639404,0.18299327790737152,0.0,0.0,1.1259847584239597,1.0368235111236572,-0.4315190613269806,-0.08142470568418503,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,1.1259847584239597,1.0368235111236572,-0.4315190613269806,-0.08142470568418503,0.28814607858657837,0.004245559684932232,0.06706324964761734
3,canonical_target_settle,0.02,0.23274786771792533,0.18994065291166887,4.404795402572488,5.190514350325992,13.45652304720879,10.433441319426235,0.8178119166311656,0.03581595420837402,link4,0.0,offline_hull_cylinder_witness,0.3045777380466461,-0.0024465799797326326,0.046339523047208786,0.3045777380466461,-0.0024465799797326326,0.046339523047208786,0.21190087497234344,-0.09622702747583389,-0.003154092002660036,0.016668109223246574,0.14263442158699036,-0.12431833148002625,0.004577738046646129,-0.0024465799797326326,0.01345652304720879,0.293,0.011,0.032882999999999996,0.28327810764312744,0.014395599253475666,0.03455972671508789,0.2924208601963537,0.010971623390107113,0.03345972193198064,0.9992605447769165,0.019303973764181137,0.033229392021894455,-0.0011636355193331838,0.050777968019247055,0.5200935006141663,2.0045552253723145,0.18972621858119965,-0.0003556372248567641,0.0001508942514192313,0.03750238195061684,0.542945146560669,1.9687392711639404,0.18299327790737152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.2892908751964569,0.0038763033226132393,0.06807263195514679
4,canonical_target_settle,0.025,0.15392063125546618,4.213965556058322,5.391658633193349,5.986305232126609,13.509466872930531,9.459800527605214,0.8178119166311656,0.03223824501037598,link4,0.0,offline_hull_cylinder_witness,0.30530714988708496,-0.002769478363916278,0.04639246687293053,0.30530714988708496,-0.002769478363916278,0.04639246687293053,0.11559861153364182,-0.04210495203733444,0.09249699860811234,2.005141496658325,3.651437282562256,0.6355462670326233,0.005307149887084972,-0.002769478363916278,0.013509466872930531,0.293,0.011,0.032882999999999996,0.28418973088264465,0.014078130945563316,0.0344296395778656,0.2924208601963537,0.010971623390107113,0.03345972193198064,0.9988924860954285,0.022742601111531258,0.041169725358486176,-0.0011968075996264815,0.049501314759254456,0.5224478244781494,2.0009775161743164,0.18906301259994507,-0.00032126923906616867,0.00013659427349921316,0.03750238195061684,0.542945146560669,1.9687392711639404,0.18299327790737152,0.0,0.0,20.836959838867376,2.799629783112323e-06,0.0,20.836959838867188,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.29033592343330383,0.003426918527111411,0.06812521070241928
5,canonical_target_settle,0.03,0.1304741648773203,0.17453292343908341,5.441042366030713,6.59660866764473,13.72670345139504,8.629586474960703,0.8178119166311656,0.02919924259185791,link4,0.0,offline_hull_cylinder_witness,0.3058851361274719,-0.002980003133416176,0.046609703451395035,0.3058851361274719,-0.002980003133416176,0.046609703451395035,0.11559861153364182,-0.04210495203733444,0.04344699904322624,0.08306441456079483,0.15122579038143158,0.026321183890104294,0.005885136127471935,-0.002980003133416176,0.01372670345139504,0.293,0.011,0.032882999999999996,0.2849518060684204,0.013785895891487598,0.034274086356163025,0.2924208601963537,0.010971623390107113,0.03345972193198064,0.9988722801208496,0.022946687415242195,0.041548777371644974,-0.0011311847483739257,0.04834552854299545,0.5246075391769409,1.9979385137557983,0.1884882003068924,-0.00029095381614752114,0.00012366526061668992,0.03750238195061684,0.542945146560669,1.9687392711639404,0.18299327790737152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.291374534368515,0.0033204585779458284,0.0677528902888298
6,canonical_target_settle,0.035,0.12315368891675019,0.1737928501156136,5.490159487949243,7.207733280387395,13.698525355577473,7.8862393696975,0.8178119166311656,0.02647697925567627,link4,0.0,offline_hull_cylinder_witness,0.3064631223678589,-0.003190527902916074,0.04658152535557747,0.3064631223678589,-0.003190527902916074,0.04658152535557747,0.1155950054526329,-0.042105406522750854,-0.005635649897158146,0.08282199501991272,0.15046358108520508,0.026555275544524193,0.006463122367858898,-0.003190527902916074,0.013698525355577473,0.293,0.011,0.032882999999999996,0.2856314182281494,0.01351966056972742,0.03412722051143646,0.2924208601963537,0.010971623390107113,0.03345972193198064,0.9988518357276917,0.02314993180334568,0.041925620287656784,-0.001065157586708665,0.04730091616511345,0.5265669226646423,1.9952162504196167,0.18797214329242706,-0.00026374708977527916,0.00011200035805813968,0.03750238195061684,0.542945146560669,1.9687392711639404,0.18299327790737152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.29203200340270996,0.0031409678049385548,0.06753460317850113
7,canonical_target_settle,0.04,0.1178150340893794,0.8309686343276113,5.98723882163645,7.623399468052748,13.666547463655476,7.218333489650721,0.8178119166311656,0.024028658866882324,link4,0.0,offline_hull_cylinder_witness,0.3068588972091675,-0.003327423706650734,0.04654954746365547,0.3068588972091675,-0.003327423706650734,0.04654954746365547,0.10253478586673737,-0.03862246498465538,-0.043304793536663055,0.18525750935077667,0.7897135019302368,-0.18039155006408691,0.006858897209167492,-0.003327423706650734,0.013666547463655476,0.293,0.011,0.032882999999999996,0.28624099493026733,0.01327819935977459,0.03399205207824707,0.2924208601963537,0.010971623390107113,0.03345972193198064,0.9986348748207092,0.02459917962551117,0.046068474650382996,-0.0009574418654665351,0.0463586300611496,0.5283381938934326,1.9927679300308228,0.18750955164432526,-0.00023920618696138263,0.0001013349974527955,0.03750238195061684,0.542945146560669,1.9687392711639404,0.18299327790737152,0.0,0.0,1.6392979621887354,2.202541651286083e-07,0.0,1.6392979621887207,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.2926596999168396,0.0029638889245688915,0.06732262670993805
8,canonical_target_settle,0.045,0.06555622945707693,1.415070164748597,6.384487971242606,7.93989117536966,13.728864119768147,6.673593253745807,0.8178119166311656,0.021992921829223633,gripper_link,1.8401744956425703,sensor_mean_gripper_link,0.3071632981300354,-0.003424767404794693,0.04661186411976814,0.3071632981300354,-0.003424767404794693,0.04661186411976814,0.06056157872080803,-0.018873993307352066,0.01654348149895668,0.43530458211898804,1.3451175689697266,0.05993511155247688,0.0071632981300354115,-0.003424767404794693,0.013728864119768147,0.293,0.011,0.032882999999999996,0.28676629066467285,0.013094475492835045,0.03401917219161987,0.2924208601963537,0.010971623390107113,0.03345972193198064,0.9984477758407593,0.025670742616057396,0.04941641166806221,-0.0009471706580370665,0.045634470880031586,0.5292920470237732,1.990732192993164,0.18728652596473694,-0.0002630680683068931,0.00010889885015785694,0.03750238195061684,0.542945146560669,1.9687392711639404,0.18299327790737152,0.0,0.0,18.498266283928583,1.6568907499313354,-0.7772943377494812,18.407508850097656,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,1.8401744956425703,1.6568882465362549,-0.7772943377494812,-0.19177336990833282,0.29316940903663635,0.002625799970701337,0.0672818273305893
9,canonical_target_settle,0.05,0.04711459206189554,1.2467513996665478,6.667165503656978,8.167793805714364,13.783543930768971,6.31321210683962,0.8178119166311656,0.020548462867736816,gripper_link,2.701373740176481,sensor_mean_gripper_link,0.30738314986228943,-0.0034931295085698366,0.04666654393076897,0.30738314986228943,-0.0034931295085698366,0.04666654393076897,0.04249200224876404,-0.012191093526780605,0.016296986490488052,0.5287545919418335,1.1135753393173218,0.18643389642238617,0.00738314986228944,-0.0034931295085698366,0.013783543930768971,0.293,0.011,0.032882999999999996,0.2871377766132355,0.013016118668019772,0.03407725691795349,0.2924208601963537,0.010971623390107113,0.03345972193198064,0.998307466506958,0.026387782767415047,0.05181709676980972,-0.0009478148422203958,0.04530318081378937,0.5298196077346802,1.9892877340316772,0.18720217049121857,-0.00024122608010657132,8.755052840569988e-05,0.03750238195061684,0.542945146560669,1.9687392711639404,0.18299327790737152,0.0,0.0,9.992956867866637,2.421757221221924,-1.158588171005249,9.625588417053223,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,2.701373740176481,2.421755790710449,-1.158588171005249,-0.3003205358982086,0.2936851680278778,0.00264321593567729,0.0671485885977745
