step,phase,physics_time_s,object_speed_mps,object_ang_speed_radps,object_tilt_deg,object_disp_xy_mm,object_z_delta_mm,tcp_error_mm,commanded_tcp_error_mm,joint_tracking_error_max_rad,max_robot_filter,max_robot_filter_force_n,witness_source,object_pos_w_m_x,object_pos_w_m_y,object_pos_w_m_z,object_pos_local_m_x,object_pos_local_m_y,object_pos_local_m_z,object_lin_vel_w_mps_x,object_lin_vel_w_mps_y,object_lin_vel_w_mps_z,object_ang_vel_w_radps_x,object_ang_vel_w_radps_y,object_ang_vel_w_radps_z,object_disp_w_m_x,object_disp_w_m_y,object_disp_w_m_z,target_tcp_local_m_x,target_tcp_local_m_y,target_tcp_local_m_z,actual_tcp_local_m_x,actual_tcp_local_m_y,actual_tcp_local_m_z,commanded_tcp_local_m_x,commanded_tcp_local_m_y,commanded_tcp_local_m_z,object_quat_w,object_quat_x,object_quat_y,object_quat_z,actual_base_link_to_link1_rad,actual_link1_to_link2_rad,actual_link2_to_link3_rad,actual_link3_to_link4_rad,actual_link4_to_link5_rad,actual_link5_to_gripper_link_rad,commanded_base_link_to_link1_rad,commanded_link1_to_link2_rad,commanded_link2_to_link3_rad,commanded_link3_to_link4_rad,commanded_link4_to_link5_rad,commanded_link5_to_gripper_link_rad,sensor_net_force_norm_n,sensor_net_force_x_n,sensor_net_force_y_n,sensor_net_force_z_n,support_table_force_norm_n,support_table_force_x_n,support_table_force_y_n,support_table_force_z_n,support_table_contact_point_x_w_m,support_table_contact_point_y_w_m,support_table_contact_point_z_w_m,link4_force_norm_n,link4_force_x_n,link4_force_y_n,link4_force_z_n,link4_contact_point_x_w_m,link4_contact_point_y_w_m,link4_contact_point_z_w_m,link5_force_norm_n,link5_force_x_n,link5_force_y_n,link5_force_z_n,link5_contact_point_x_w_m,link5_contact_point_y_w_m,link5_contact_point_z_w_m,gripper_link_force_norm_n,gripper_link_force_x_n,gripper_link_force_y_n,gripper_link_force_z_n,gripper_link_contact_point_x_w_m,gripper_link_contact_point_y_w_m,gripper_link_contact_point_z_w_m,robot_root_pos_w_m_x,robot_root_pos_w_m_y,robot_root_pos_w_m_z,robot_root_quat_w,robot_root_quat_x,robot_root_quat_y,robot_root_quat_z,robot_root_position_drift_m,robot_root_rotation_drift_rad,object_bottom_z_local_m,object_bottom_table_gap_mm
0,sole_support_robot_free_baseline,0.005,0.001039905595306887,0.016790244799141103,0.0013779679187575114,0.0010837483195117808,3.354072575234568e-06,315.001142819071,0.8178119166311656,0.00029969215393066406,link4,0.0,offline_hull_cylinder_witness,0.30000096559524536,4.920734113511571e-07,0.03288300335407257,0.30000096559524536,4.920734113511571e-07,0.03288300335407257,0.0007322097662836313,-0.0007300266297534108,-0.00011105685553047806,0.011743290349841118,0.011610657908022404,-0.00303316256031394,9.655952453724304e-07,4.920734113511571e-07,3.354072575234568e-09,0.293,0.011,0.032882999999999996,0.3436913788318634,-1.3210810720920563e-06,0.34358394145965576,0.2924208601963537,0.010971623390107113,0.03345972193198064,0.9999999403953552,-8.24836297397269e-06,8.750202141527552e-06,-1.1018923942174297e-06,1.043770723185844e-07,0.00012815323134418577,1.5710960626602173,3.371476850588806e-05,-1.0302798045813688e-06,2.9080902130829145e-09,0.0,0.0,1.5707963705062866,0.0,0.0,0.0,7.047205925357831,-5.028803207096644e-05,5.18322667630855e-05,7.047205924987793,7.047205925357831,-5.028803207096644e-05,5.18322667630855e-05,7.047205924987793,0.276382714509964,-0.023617343977093697,-0.012117004953324795,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.012117405484215978,-0.00040548421597827455
1,sole_support_robot_free_baseline,0.01,0.0014861997602898212,0.018764744064868777,0.0016324960324019754,0.0016394819480963678,0.00033863019943680683,314.84250737458586,0.8178119166311656,0.0006405115127563477,link4,0.0,offline_hull_cylinder_witness,0.3000013530254364,-9.258635031983431e-07,0.03288333863019943,0.3000013530254364,-9.258635031983431e-07,0.03288333863019943,0.00014165318862069398,0.0014353052247315645,-0.00035864050732925534,-0.01842089369893074,0.0021413525100797415,0.0028637221548706293,1.3530254364124694e-06,-9.258635031983431e-07,3.3863019943680683e-07,0.293,0.011,0.032882999999999996,0.3437190055847168,-1.3266690075397491e-06,0.34341859817504883,0.2924208601963537,0.010971623390107113,0.03345972193198064,0.9999999403953552,9.558831152389757e-06,1.0563302566879429e-05,-1.8337736946705263e-06,-5.974286665377804e-08,0.0002790427242871374,1.571436882019043,7.246465247590095e-05,-2.2182480279298034e-06,2.0306261117042368e-09,0.0,0.0,1.5707963705062866,0.0,0.0,0.0,7.027547836304248,-1.8561454453447368e-06,2.0264585600671126e-06,7.027547836303711,7.027547836304248,-1.8561454453447368e-06,2.0264585600671126e-06,7.027547836303711,0.3000001907348633,-2.50060111284256e-07,-0.012116996571421623,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.01211714572284036,-0.00014572284036049044
2,sole_support_robot_free_baseline,0.015,0.0016149762305608215,0.021618349533962068,0.002113207402354229,0.002459477233211315,0.0004913671016737453,314.69123172111966,0.8178119166311656,0.0009649991989135742,link4,0.0,offline_hull_cylinder_witness,0.3000003695487976,2.4315554583154153e-06,0.03288349136710167,0.3000003695487976,2.4315554583154153e-06,0.03288349136710167,0.0009499014122411609,-0.0011934612412005663,-0.000530552351847291,0.01626208797097206,0.012936161831021309,-0.005962654482573271,3.695487976185241e-07,2.4315554583154153e-06,4.913671016737453e-07,0.293,0.011,0.032882999999999996,0.3437453806400299,-1.2777745723724365e-06,0.34326091408729553,0.2924208601963537,0.010971623390107113,0.03345972193198064,0.9999999403953552,-1.8378721506451257e-05,1.5168757272476796e-06,1.0127056384590105e-06,-2.711843194447283e-07,0.0004237161483615637,1.5717613697052002,0.0001094349063350819,-3.3522383091622032e-06,3.861007069616562e-10,0.0,0.0,1.5707963705062866,0.0,0.0,0.0,7.038444995880879,2.5534334326948738e-06,-2.0182039861538215e-06,7.038444995880127,7.038444995880879,2.5534334326948738e-06,-2.0182039861538215e-06,7.038444995880127,0.3000004291534424,-7.776543498039246e-08,-0.012116830796003342,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.012117135603551328,-0.00013560355132877233
3,sole_support_robot_free_baseline,0.02,0.002424622384399656,0.02989204307091085,0.0023850138921129183,0.0022835924165096363,0.0005695981979414455,314.55302979891064,0.8178119166311656,0.0012613534927368164,link4,0.0,offline_hull_cylinder_witness,0.3000021278858185,-8.287920536531601e-07,0.03288356959819794,0.3000021278858185,-8.287920536531601e-07,0.03288356959819794,-0.0008331018034368753,0.002222483279183507,-0.0004952808958478272,-0.02574179694056511,-0.012814978137612343,0.008165198378264904,2.1278858184925475e-06,-8.287920536531601e-07,5.695981979414455e-07,0.293,0.011,0.032882999999999996,0.3437694311141968,-1.451931893825531e-06,0.3431168496608734,0.2924208601963537,0.010971623390107113,0.03345972193198064,0.9999999403953552,8.065308975346852e-06,1.9186945792171173e-05,-2.145997314073611e-06,-4.7375320377796015e-07,0.0005559994606301188,1.5720577239990234,0.0001432026911061257,-4.388305569591466e-06,-2.5845413049313537e-12,0.0,0.0,1.5707963705062866,0.0,0.0,0.0,7.068280220038665,-7.0067976594145875e-06,6.987100732658291e-06,7.068280220031738,7.068280220038665,-7.0067976594145875e-06,6.987100732658291e-06,7.068280220031738,0.30000022053718567,7.867347449064255e-07,-0.012116757221519947,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.012117138010679679,-0.00013801067967958436
4,sole_support_robot_free_baseline,0.025,0.0023604055027160375,0.03255245429193675,0.0027204119686653878,0.0030996249341881175,0.0006441040039106838,314.42809181690745,0.8178119166311656,0.0015288591384887695,link4,0.0,offline_hull_cylinder_witness,0.30000030994415283,3.0840897125017364e-06,0.032883644104003906,0.30000030994415283,3.0840897125017364e-06,0.032883644104003906,0.0013322436716407537,-0.0018054819665849209,-0.0007327180937863886,0.02562372013926506,0.018267259001731873,-0.008330335840582848,3.099441528431335e-07,3.0840897125017364e-06,6.441040039106838e-07,0.293,0.011,0.032882999999999996,0.3437911570072174,-1.462642103433609e-06,0.3429866135120392,0.2924208601963537,0.010971623390107113,0.03345972193198064,1.0,-2.3733733542030677e-05,5.485836140906031e-07,1.4946410828997614e-06,-6.55657572679047e-07,0.0006754205096513033,1.5723252296447754,0.00017368387489113957,-5.3237067731970455e-06,2.4152148380210403e-14,0.0,0.0,1.5707963705062866,0.0,0.0,0.0,7.0290098190318755,3.956858108722372e-06,3.9222389780491085e-09,7.029009819030762,7.0290098190318755,3.956858108722372e-06,3.9222389780491085e-09,7.029009819030762,0.30000039935112,-1.0663643479347229e-07,-0.012116717174649239,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.012117163007744257,-0.00016300774425756503
5,sole_support_robot_free_baseline,0.03,0.0029012929972622075,0.03611584966940693,0.002885408847701428,0.0028311498147120828,0.0006962580680891506,314.31588587384704,0.8178119166311656,0.0017696619033813477,link4,0.0,offline_hull_cylinder_witness,0.3000026047229767,-1.1094266483269166e-06,0.032883696258068085,0.3000026047229767,-1.1094266483269166e-06,0.032883696258068085,-0.001096387510187924,0.0026155132800340652,-0.0006119851022958755,-0.030286408960819244,-0.017011987045407295,0.009883335791528225,2.6047229766956725e-06,-1.1094266483269166e-06,6.962580680891506e-07,0.293,0.011,0.032882999999999996,0.34381067752838135,-1.5706755220890045e-06,0.3428696393966675,0.2924208601963537,0.010971623390107113,0.03345972193198064,1.0,1.0122712410520762e-05,2.3055588826537132e-05,-2.678965302038705e-06,-8.160769766618614e-07,0.0007828454836271703,1.572566032409668,0.00020110806508455426,-6.165415925352136e-06,-3.349645647660049e-12,0.0,0.0,1.5707963705062866,0.0,0.0,0.0,7.080586910259839,-9.275931915908586e-06,9.187649084196892e-06,7.080586910247803,7.080586910259839,-9.275931915908586e-06,9.187649084196892e-06,7.080586910247803,0.30000025033950806,9.74978320300579e-07,-0.012116681784391403,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.012117159802899118,-0.00015980289911829426
6,sole_support_robot_free_baseline,0.035,0.002675003448315143,0.036807611493722504,0.003134529105465621,0.0035380566317351294,0.0007521374225660793,314.2147703282259,0.8178119166311656,0.001986265182495117,link4,0.0,offline_hull_cylinder_witness,0.3000001609325409,3.5343946365173906e-06,0.03288375213742256,0.3000001609325409,3.5343946365173906e-06,0.03288375213742256,0.0015196200693026185,-0.002040743362158537,-0.0008256905130110681,0.02892213501036167,0.02066848799586296,-0.00954588782042265,1.6093254090465692e-07,3.5343946365173906e-06,7.521374225660793e-07,0.293,0.011,0.032882999999999996,0.34382808208465576,-1.5301629900932312e-06,0.3427642583847046,0.2924208601963537,0.010971623390107113,0.03345972193198064,0.9999999403953552,-2.7347357899998315e-05,-5.993508125357039e-07,1.8758164515020326e-06,-9.56743747337896e-07,0.0008793835295364261,1.5727826356887817,0.00022575877665076405,-6.921894510014681e-06,-1.8360334953781976e-12,0.0,0.0,1.5707963705062866,0.0,0.0,0.0,7.0324273109452,4.734050435217796e-06,-1.8352511688135564e-07,7.0324273109436035,7.0324273109452,4.734050435217796e-06,-1.8352511688135564e-07,7.0324273109436035,0.30000054836273193,-2.3515895009040833e-07,-0.012116657570004463,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.012117177828736218,-0.00017782873621904893
7,sole_support_robot_free_baseline,0.04,0.003128974667362083,0.03878580985675196,0.0032024820723911937,0.003160207333407717,0.000763313293461465,314.12404077799187,0.8178119166311656,0.002180814743041992,link4,0.0,offline_hull_cylinder_witness,0.3000028729438782,-1.3164740266802255e-06,0.03288376331329346,0.3000028729438782,-1.3164740266802255e-06,0.03288376331329346,-0.001186843030154705,0.0028178018983453512,-0.0006647394620813429,-0.03246118873357773,-0.018302081152796745,0.010753794573247433,2.8729438781849304e-06,-1.3164740266802255e-06,7.63313293461465e-07,0.293,0.011,0.032882999999999996,0.3438436985015869,-1.569744199514389e-06,0.34266969561576843,0.2924208601963537,0.010971623390107113,0.03345972193198064,1.0,1.1219573934795335e-05,2.5595936676836573e-05,-3.0917856292944634e-06,-1.0798333960337914e-06,0.000966113992035389,1.5729771852493286,0.0002479114627931267,-7.601689503644593e-06,-3.2863343123190614e-12,0.0,0.0,1.5707963705062866,0.0,0.0,0.0,7.086379051225004,-1.0882343303819653e-05,1.0748679414973594e-05,7.086379051208496,7.086379051225004,-1.0882343303819653e-05,1.0748679414973594e-05,7.086379051208496,0.30000025033950806,1.0657822713255882e-06,-0.012116622179746628,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.012117186811982664,-0.0001868119826643755
8,sole_support_robot_free_baseline,0.045,0.0028260042616454722,0.03877079583846357,0.003364520785190337,0.0037739450160181134,0.000808016777043008,314.0426368183023,0.8178119166311656,0.0023555755615234375,link4,0.0,offline_hull_cylinder_witness,0.3000001013278961,3.7725844777014572e-06,0.03288380801677704,0.3000001013278961,3.7725844777014572e-06,0.03288380801677704,0.0016087513649836183,-0.002153682755306363,-0.000871705065947026,0.030431527644395828,0.021767228841781616,-0.010162897408008575,1.0132789612926629e-07,3.7725844777014572e-06,8.08016777043008e-07,0.293,0.011,0.032882999999999996,0.34385770559310913,-1.6642734408378601e-06,0.34258484840393066,0.2924208601963537,0.010971623390107113,0.03345972193198064,0.9999999403953552,-2.9334691134863533e-05,-1.2422149211488431e-06,2.0796644548681797e-06,-1.1874251413246384e-06,0.001044024946168065,1.57315194606781,0.0002678166492842138,-8.212521606765222e-06,1.097191022932098e-12,0.0,0.0,1.5707963705062866,0.0,0.0,0.0,7.033397197725352,5.2523560043482576e-06,-1.6422663406956417e-07,7.033397197723389,7.033397197725352,5.2523560043482576e-06,-1.6422663406956417e-07,7.033397197723389,0.30000054836273193,-3.050081431865692e-07,-0.012116622179746628,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.012117190179047575,-0.00019017904757598347
9,sole_support_robot_free_baseline,0.05,0.002833754560741551,0.0394159323888114,0.001034317085505236,0.0008584444191814608,0.00023804736137833515,313.9694465382222,0.8178119166311656,0.0025124549865722656,link4,0.0,offline_hull_cylinder_witness,0.3000008165836334,2.647980181791354e-07,0.032883238047361374,0.3000008165836334,2.647980181791354e-07,0.032883238047361374,-0.002023455686867237,0.0019519900670275092,-0.0003542975755408406,-0.01902047172188759,-0.03271279111504555,0.011032256297767162,8.165836334339538e-07,2.647980181791354e-07,2.3804736137833515e-07,0.293,0.011,0.032882999999999996,0.3438703417778015,-1.7140991985797882e-06,0.34250855445861816,0.2924208601963537,0.010971623390107113,0.03345972193198064,1.0,-1.2783979173036641e-06,8.935129699239042e-06,3.116797131497151e-07,-1.2813646890208474e-06,0.0011140118585899472,1.5733088254928589,0.0002857019135262817,-8.761723620409612e-06,-2.0082160760714896e-12,0.0,0.0,1.5707963705062866,0.0,0.0,0.0,7.137708187114171,-5.217367288423702e-06,1.1330181223456748e-05,7.1377081871032715,7.137708187114171,-5.217367288423702e-06,1.1330181223456748e-05,7.1377081871032715,0.30000022053718567,1.1473894119262695e-06,-0.012116596102714539,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.012117068833389463,-6.883338946397921e-05
