step,phase,physics_time_s,object_speed_mps,object_ang_speed_radps,object_tilt_deg,object_disp_xy_mm,object_z_delta_mm,tcp_error_mm,commanded_tcp_error_mm,joint_tracking_error_max_rad,max_robot_filter,max_robot_filter_force_n,witness_source,object_pos_w_m_x,object_pos_w_m_y,object_pos_w_m_z,object_pos_local_m_x,object_pos_local_m_y,object_pos_local_m_z,object_lin_vel_w_mps_x,object_lin_vel_w_mps_y,object_lin_vel_w_mps_z,object_ang_vel_w_radps_x,object_ang_vel_w_radps_y,object_ang_vel_w_radps_z,object_disp_w_m_x,object_disp_w_m_y,object_disp_w_m_z,target_tcp_local_m_x,target_tcp_local_m_y,target_tcp_local_m_z,actual_tcp_local_m_x,actual_tcp_local_m_y,actual_tcp_local_m_z,commanded_tcp_local_m_x,commanded_tcp_local_m_y,commanded_tcp_local_m_z,object_quat_w,object_quat_x,object_quat_y,object_quat_z,actual_base_link_to_link1_rad,actual_link1_to_link2_rad,actual_link2_to_link3_rad,actual_link3_to_link4_rad,actual_link4_to_link5_rad,actual_link5_to_gripper_link_rad,commanded_base_link_to_link1_rad,commanded_link1_to_link2_rad,commanded_link2_to_link3_rad,commanded_link3_to_link4_rad,commanded_link4_to_link5_rad,commanded_link5_to_gripper_link_rad,sensor_net_force_norm_n,sensor_net_force_x_n,sensor_net_force_y_n,sensor_net_force_z_n,support_table_force_norm_n,support_table_force_x_n,support_table_force_y_n,support_table_force_z_n,support_table_contact_point_x_w_m,support_table_contact_point_y_w_m,support_table_contact_point_z_w_m,link4_force_norm_n,link4_force_x_n,link4_force_y_n,link4_force_z_n,link4_contact_point_x_w_m,link4_contact_point_y_w_m,link4_contact_point_z_w_m,link5_force_norm_n,link5_force_x_n,link5_force_y_n,link5_force_z_n,link5_contact_point_x_w_m,link5_contact_point_y_w_m,link5_contact_point_z_w_m,gripper_link_force_norm_n,gripper_link_force_x_n,gripper_link_force_y_n,gripper_link_force_z_n,gripper_link_contact_point_x_w_m,gripper_link_contact_point_y_w_m,gripper_link_contact_point_z_w_m,robot_root_pos_w_m_x,robot_root_pos_w_m_y,robot_root_pos_w_m_z,robot_root_quat_w,robot_root_quat_x,robot_root_quat_y,robot_root_quat_z,robot_root_position_drift_m,robot_root_rotation_drift_rad,object_bottom_z_local_m,object_bottom_table_gap_mm
0,sole_support_canonical_target_settle,0.005,0.3425530439511219,7.496453822631681,1.821227067988108,1.4549372392421325,0.4807185394763991,9.12259827648305,0.8178119166311656,0.031200289726257324,gripper_link,76.41275491914837,sensor_mean_gripper_link,0.30135947465896606,-0.0005183348548598588,0.033363718539476395,0.30135947465896606,-0.0005183348548598588,0.033363718539476395,0.32959845662117004,-0.01875711977481842,0.09140905737876892,1.1631325483322144,7.402919769287109,0.20179563760757446,0.0013594746589660756,-0.0005183348548598588,0.0004807185394763991,0.293,0.011,0.032882999999999996,0.2839704155921936,0.012256153859198093,0.03321538865566254,0.2924208601963537,0.010971623390107113,0.03345972193198064,0.9998736381530762,0.005583755671977997,0.014879325404763222,-0.00017455803754273802,0.043137192726135254,0.5269918441772461,1.9999395608901978,0.19025635719299316,-0.0002465870638843626,8.017222171474714e-06,0.03750238195061684,0.542945146560669,1.9687392711639404,0.18299327790737152,0.0,0.0,155.5127613575136,71.22889709472656,-27.661529541015625,135.44557189941406,135.44467163797137,-0.0009665171382948756,0.0009961967589333653,135.44467163085938,0.276382714509964,-0.023617343977093697,-0.012117004953324795,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.28867268562316895,0.008042929694056511,0.07603246718645096,76.41275491914837,71.22986602783203,-27.662525177001953,0.0009070101659744978,0.2915170192718506,0.0033204699866473675,0.06663494557142258,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.01215382787708949,-0.03682787708949101
1,sole_support_canonical_target_settle,0.01,0.3712585899518491,5.786342311333669,4.112530683221357,3.196240198058991,1.137941704511647,12.118914409750703,0.8178119166311656,0.04265546798706055,gripper_link,13.306719285642705,sensor_mean_gripper_link,0.30308401584625244,-0.0008395222830586135,0.03402094170451164,0.30308401584625244,-0.0008395222830586135,0.03402094170451164,0.35726866126060486,-0.02276007831096649,0.09835661202669144,0.07633723318576813,5.727496147155762,-0.8195839524269104,0.0030840158462524525,-0.0008395222830586135,0.0011379417045116469,0.293,0.011,0.032882999999999996,0.28158313035964966,0.014631109312176704,0.034710079431533813,0.2924208601963537,0.010971623390107113,0.03345972193198064,0.9993559718132019,0.009122353978455067,0.034701891243457794,-0.00026772511773742735,0.05191744491457939,0.5160245299339294,2.011394739151001,0.1905546635389328,-0.00010559127986198291,2.0341303752502427e-08,0.03750238195061684,0.542945146560669,1.9687392711639404,0.18299327790737152,0.0,0.0,19.063734753463887,12.380233764648438,-4.860037326812744,13.657812118530273,14.08045482635498,0.0,0.0,14.08045482635498,0.30002060532569885,-1.562526449561119e-05,-0.011865276843309402,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,13.306719285642705,12.380233764648438,-4.860037326812744,-0.42264318466186523,0.28910666704177856,0.004290946759283543,0.06505411863327026,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.012082353744580818,0.03464625541918162
2,sole_support_canonical_target_settle,0.015,0.3608848551188385,0.18485379401298993,4.157618045242767,4.961497944684464,1.383978502273564,10.459035392180427,0.8178119166311656,0.03667759895324707,link4,0.0,offline_hull_cylinder_witness,0.3048679232597351,-0.0009590542176738381,0.03426697850227356,0.3048679232597351,-0.0009590542176738381,0.03426697850227356,0.3567805886268616,-0.02382124960422516,0.04876513406634331,0.05299646779894829,0.13910642266273499,0.10959791392087936,0.0048679232597351185,-0.0009590542176738381,0.001383978502273564,0.293,0.011,0.032882999999999996,0.2831718921661377,0.014051077887415886,0.034751325845718384,0.2924208601963537,0.010971623390107113,0.03345972193198064,0.9993417859077454,0.009263275191187859,0.03507138416171074,3.146315793856047e-05,0.04958363249897957,0.5190205574035645,2.0054168701171875,0.18958553671836853,-9.420454443898052e-05,2.9509210435207933e-06,0.03750238195061684,0.542945146560669,1.9687392711639404,0.18299327790737152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29996272921562195,-1.847418025135994e-05,-0.011490094475448132,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.2893398702144623,0.004806769546121359,0.06717247515916824,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0118471063560538,0.26989364394619864
3,sole_support_canonical_target_settle,0.02,0.3575750571586179,0.17453292664513836,4.197621602848799,6.738640910827049,1.3825554413795516,9.476323375083018,0.8178119166311656,0.032999277114868164,link4,0.0,offline_hull_cylinder_witness,0.3066518306732178,-0.0010781604796648026,0.03426555544137955,0.3066518306732178,-0.0010781604796648026,0.03426555544137955,0.3567805886268616,-0.02382124960422516,-0.00028486549854278564,0.050093431025743484,0.13132180273532867,0.10347451269626617,0.0066518306732177845,-0.0010781604796648026,0.0013825554413795516,0.293,0.011,0.032882999999999996,0.2841023802757263,0.013762218877673149,0.034615978598594666,0.2924208601963537,0.010971623390107113,0.03345972193198064,0.9993290305137634,0.009379259310662746,0.035401567816734314,0.0002910990733653307,0.048406537622213364,0.5214431285858154,2.0017385482788086,0.18893292546272278,-8.516299567418173e-05,3.036270072698244e-06,0.03750238195061684,0.542945146560669,1.9687392711639404,0.18299327790737152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3017135262489319,-0.0001260298304259777,-0.011365801095962524,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.29131078720092773,0.005497537553310394,0.06605610251426697,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.011858078363771729,0.25892163622827025
4,sole_support_canonical_target_settle,0.025,0.2897311928435171,3.260327368907949,4.237626497114134,8.520277267676422,1.1358816189765975,8.643654283751374,0.8178119166311656,0.02988278865814209,link4,0.0,offline_hull_cylinder_witness,0.30843573808670044,-0.001197266741655767,0.03401888161897659,0.30843573808670044,-0.001197266741655767,0.03401888161897659,0.28898608684539795,-0.019442951306700706,0.007292280904948711,0.12143059074878693,3.254357099533081,0.15539959073066711,0.00843573808670045,-0.001197266741655767,0.0011358816189765975,0.293,0.011,0.032882999999999996,0.28487423062324524,0.013499542139470577,0.034444063901901245,0.2924208601963537,0.010971623390107113,0.03345972193198064,0.9993161559104919,0.009495383128523827,0.03573170304298401,0.0005507295718416572,0.04735596850514412,0.5236976146697998,1.9986220598220825,0.1883697211742401,-7.719069981249049e-05,2.7572864382818807e-06,0.03750238195061684,0.542945146560669,1.9687392711639404,0.18299327790737152,0.0,0.0,8.153142633103528,0.0011713795829564333,0.003058189759030938,8.153141975402832,8.153142633103528,0.0011713795829564333,0.003058189759030938,8.153141975402832,0.30346745252609253,-0.00023577967658638954,-0.011365365236997604,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.012114278966837727,0.0027210331622722073
5,sole_support_canonical_target_settle,0.03,0.19755149204512204,4.540546894760196,5.435340876334763,9.485484250654673,1.4118362231254622,7.900183980187858,0.8178119166311656,0.027098774909973145,link4,0.0,offline_hull_cylinder_witness,0.30940350890159607,-0.0012443599989637733,0.03429483622312546,0.30940350890159607,-0.0012443599989637733,0.03429483622312546,0.1867780089378357,-0.005972925573587418,0.06406942754983902,0.40323033928871155,4.479706764221191,0.6214488744735718,0.00940350890159608,-0.0012443599989637733,0.0014118362231254622,0.293,0.011,0.032882999999999996,0.2855601906776428,0.013260426931083202,0.034280359745025635,0.2924208601963537,0.010971623390107113,0.03345972193198064,0.9988751411437988,0.00998734962195158,0.046350713819265366,0.0004488282429520041,0.046406712383031845,0.5257460474967957,1.9958380460739136,0.187864750623703,-7.010237459326163e-05,2.4943788048403803e-06,0.03750238195061684,0.542945146560669,1.9687392711639404,0.18299327790737152,0.0,0.0,15.23910903930664,0.0,0.0,15.23910903930664,15.23910903930664,0.0,0.0,15.23910903930664,0.3052216172218323,-0.00034502637572586536,-0.011487549170851707,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.012113111863355987,0.0038881366440125797
6,sole_support_canonical_target_settle,0.035,0.18747608828777346,0.17453290539972868,5.484462203189179,10.415631180654366,1.486934350252156,7.2308644373818005,0.8178119166311656,0.02459084987640381,link4,0.0,offline_hull_cylinder_witness,0.3103373944759369,-0.001274224603548646,0.03436993435025215,0.3103373944759369,-0.001274224603548646,0.03436993435025215,0.1867780089378357,-0.005972925573587418,0.015019427984952927,0.01551477238535881,0.17219312489032745,0.023886285722255707,0.0103373944759369,-0.001274224603548646,0.001486934350252156,0.293,0.011,0.032882999999999996,0.28617677092552185,0.013043017126619816,0.03413000702857971,0.2924208601963537,0.010971623390107113,0.03345972193198064,0.9988547563552856,0.01002348493784666,0.04678090289235115,0.0005059243994764984,0.045548804104328156,0.5275998711585999,1.9933301210403442,0.1874091774225235,-6.372008647304028e-05,2.249229964945698e-06,0.03750238195061684,0.542945146560669,1.9687392711639404,0.18299327790737152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30523625016212463,-0.0003483835607767105,-0.011309920810163021,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.01204885136924564,0.06814863075435898
7,sole_support_canonical_target_settle,0.04,0.16208900572133605,1.3688398051357296,6.17903460992849,11.086337465645236,1.5808042151927992,6.627596347018489,0.8178119166311656,0.02232825756072998,link4,0.0,offline_hull_cylinder_witness,0.311011403799057,-0.001286804093979299,0.034463804215192795,0.311011403799057,-0.001286804093979299,0.034463804215192795,0.1614874303340912,-0.005160105414688587,-0.01296259742230177,-0.010576323606073856,1.3687957525253296,-0.0029565810691565275,0.011011403799057018,-0.001286804093979299,0.0015808042151927992,0.293,0.011,0.032882999999999996,0.286732017993927,0.012845450080931187,0.033992841839790344,0.2924208601963537,0.010971623390107113,0.03345972193198064,0.998546302318573,0.010133818723261356,0.05293484032154083,0.0005958894034847617,0.04477343335747719,0.5292764902114868,1.9910675287246704,0.18699777126312256,-5.796163895865902e-05,2.0210520688124234e-06,0.03750238195061684,0.542945146560669,1.9687392711639404,0.18299327790737152,0.0,0.0,3.035623027683372,-0.0015714793698862195,-0.001262659439817071,3.0356223583221436,3.035623027683372,-0.0015714793698862195,-0.001262659439817071,3.0356223583221436,0.30613189935684204,-0.00037493370473384857,-0.011270537041127682,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.01210456925726678,0.012430742733219452
8,sole_support_canonical_target_settle,0.045,0.1205462532915993,1.3833664806797545,6.826392014134785,11.603132636945697,1.7047259969711348,6.083714989620415,0.8178119166311656,0.02028656005859375,link4,0.0,offline_hull_cylinder_witness,0.311531126499176,-0.0012906620977446437,0.03458772599697113,0.311531126499176,-0.0012906620977446437,0.03458772599697113,0.11748107522726059,-0.002579000312834978,0.02688763476908207,-0.11094135791063309,1.3782789707183838,-0.041736241430044174,0.011531126499176036,-0.0012906620977446437,0.0017047259969711348,0.293,0.011,0.032882999999999996,0.2872323989868164,0.012666219845414162,0.03386792540550232,0.2924208601963537,0.010971623390107113,0.03345972193198064,0.9982259273529053,0.01018789317458868,0.05865812301635742,0.0006292773759923875,0.04407268390059471,0.5307925343513489,1.9890258312225342,0.18662619590759277,-5.2764029533136636e-05,1.8086731188304839e-06,0.03750238195061684,0.542945146560669,1.9687392711639404,0.18299327790737152,0.0,0.0,12.79637659519857,0.009467367082834244,-0.01894957758486271,12.796359062194824,12.79637659519857,0.009467367082834244,-0.01894957758486271,12.796359062194824,0.30625295639038086,-0.0003775637596845627,-0.01119588315486908,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.012113905652538656,0.0030943474613430444
9,sole_support_canonical_target_settle,0.05,0.07153671749148538,2.5427550484169226,7.311857653879982,12.011188143146985,1.7954852445125624,5.593535289230141,0.8178119166311656,0.018444061279296875,link4,0.0,offline_hull_cylinder_witness,0.3119412064552307,-0.0012946926290169358,0.03467848524451256,0.3119412064552307,-0.0012946926290169358,0.03467848524451256,0.06608418375253677,0.0011979745468124747,0.02736690454185009,0.12676338851451874,2.5322139263153076,0.1934603601694107,0.011941206455230724,-0.0012946926290169358,0.0017954852445125624,0.293,0.011,0.032882999999999996,0.2876832187175751,0.012503551319241524,0.03375409543514252,0.2924208601963537,0.010971623390107113,0.03345972193198064,0.9979647397994995,0.010204894468188286,0.06294281035661697,0.0005823823739774525,0.04343938082456589,0.5321634411811829,1.9871833324432373,0.18629060685634613,-4.807203367818147e-05,1.6111464447021717e-06,0.03750238195061684,0.542945146560669,1.9687392711639404,0.18299327790737152,0.0,0.0,7.1322150230407715,0.0,0.0,7.1322150230407715,7.1322150230407715,0.0,0.0,7.1322150230407715,0.3062606751918793,-0.00037872791290283203,-0.011105136945843697,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.012119168385468261,-0.0021683854682617854
