x,y,z_name,limits,pos_err_mm,tilt_deg,pos_ok,vertical_ok,q0,q1,q2,q3,seed_idx,iters
0.1,-0.26,descend,urdf,0.0241,0.3298,True,True,-68.9625,39.3741,83.6065,57.3492,0,159
0.1,-0.26,descend,v6clip,0.0241,0.3298,True,True,-68.9625,39.3741,83.6065,57.3492,0,159
0.1,-0.26,approach,urdf,0.0329,0.4213,True,True,-68.9625,34.2468,77.4181,67.9138,0,159
0.1,-0.26,approach,v6clip,0.0329,0.4213,True,True,-68.9625,34.2468,77.4181,67.9138,0,159
0.1,-0.24,descend,urdf,0.0142,0.198,True,True,-67.3801,35.3843,93.2391,51.1786,3,149
0.1,-0.24,descend,v6clip,0.0142,0.198,True,True,-67.3801,35.3843,93.2391,51.1786,3,149
0.1,-0.24,approach,urdf,0.0161,0.2076,True,True,-67.3801,30.4596,85.6215,64.1266,0,159
0.1,-0.24,approach,v6clip,0.0161,0.2076,True,True,-67.3801,30.4596,85.6215,64.1266,0,159
0.1,-0.22,descend,urdf,0.0199,0.2774,True,True,-65.556,32.0175,101.4246,46.2806,1,159
0.1,-0.22,descend,v6clip,0.0199,0.2774,True,True,-65.556,32.0175,101.4246,46.2806,1,159
0.1,-0.22,approach,urdf,0.021,0.2738,True,True,-65.556,26.2332,94.4125,59.0805,3,159
0.1,-0.22,approach,v6clip,0.021,0.2738,True,True,-65.556,26.2332,94.4125,59.0805,3,159
0.1,-0.2,descend,urdf,0.0143,0.1984,True,True,-63.4349,29.2142,108.3391,42.645,1,117
0.1,-0.2,descend,v6clip,0.0143,0.1984,True,True,-63.4349,29.2142,108.3391,42.645,1,117
0.1,-0.2,approach,urdf,0.028,0.3631,True,True,-63.4349,22.5226,101.923,55.1914,1,159
0.1,-0.2,approach,v6clip,0.028,0.3631,True,True,-63.4349,22.5226,101.923,55.1914,1,159
0.1,-0.18,descend,urdf,0.0271,0.3696,True,True,-60.9454,26.4597,115.1471,38.7628,1,159
0.1,-0.18,descend,v6clip,0.0271,0.3696,True,True,-60.9454,26.4597,115.1471,38.7628,1,159
0.1,-0.18,approach,urdf,0.0154,0.1969,True,True,-60.9454,19.1585,108.5362,52.1084,1,110
0.1,-0.18,approach,v6clip,0.0154,0.1969,True,True,-60.9454,19.1585,108.5362,52.1084,1,110
0.1,-0.16,descend,urdf,0.0207,0.2757,True,True,-57.9946,23.5038,122.4062,33.8143,2,159
0.1,-0.16,descend,v6clip,0.0207,0.2757,True,True,-57.9946,23.5038,122.4062,33.8143,2,159
0.1,-0.16,approach,urdf,0.016,0.1999,True,True,-57.9946,16.0884,114.3928,49.7187,1,124
0.1,-0.16,approach,v6clip,0.016,0.1999,True,True,-57.9946,16.0884,114.3928,49.7187,1,124
0.1,-0.14,descend,urdf,0.0154,0.1987,True,True,-54.4623,21.1227,128.4297,30.2489,2,82
0.1,-0.14,descend,v6clip,0.0154,0.1987,True,True,-54.4623,21.1227,128.4297,30.2489,2,82
0.1,-0.14,approach,urdf,0.0161,0.1966,True,True,-54.4623,12.9165,120.163,47.1172,1,159
0.1,-0.14,approach,v6clip,0.0161,0.1966,True,True,-54.4623,12.9165,120.163,47.1172,1,159
0.1,-0.12,descend,urdf,0.0161,0.1983,True,True,-50.1944,19.103,133.6939,27.4014,2,133
0.1,-0.12,descend,v6clip,0.0161,0.1983,True,True,-50.1944,19.103,133.6939,27.4014,2,133
0.1,-0.12,approach,urdf,0.0204,0.2409,True,True,-50.1944,9.921,125.3672,44.9527,1,159
0.1,-0.12,approach,v6clip,0.0204,0.2409,True,True,-50.1944,9.921,125.3672,44.9527,1,159
0.1,-0.1,descend,urdf,0.0214,0.2514,True,True,-45.0,17.1526,138.844,24.2548,2,159
0.1,-0.1,descend,v6clip,2.9019,3.1029,True,True,-44.9424,18.8079,135.0,29.295,4,16
0.1,-0.1,approach,urdf,0.0218,0.2487,True,True,-45.0,7.0755,130.0519,43.1213,1,159
0.1,-0.1,approach,v6clip,0.0218,0.2487,True,True,-45.0,7.0755,130.0519,43.1213,1,159
0.1,-0.08,descend,urdf,0.0316,0.3505,True,True,-38.6598,15.4892,143.3861,21.4752,2,159
0.1,-0.08,descend,v6clip,2.8399,8.1677,True,False,-38.6598,19.6885,135.0,33.4792,1,51
0.1,-0.08,approach,urdf,0.0395,0.4347,True,True,-38.6598,4.5723,133.967,41.8955,0,159
0.1,-0.08,approach,v6clip,0.0395,0.4347,True,True,-38.6598,4.5723,133.967,41.8955,0,159
0.1,-0.06,descend,urdf,0.0408,0.4255,True,True,-30.9638,14.1231,147.2561,19.0464,2,159
0.1,-0.06,descend,v6clip,2.7609,12.8098,True,False,-30.9638,20.895,135.0,36.9149,1,36
0.1,-0.06,approach,urdf,0.0339,0.3614,True,True,-30.9638,2.2263,137.3923,40.7428,0,159
0.1,-0.06,approach,v6clip,2.7584,2.1761,True,True,-30.954,3.7594,135.0,43.4167,4,18
0.1,-0.04,descend,urdf,0.0485,0.4795,True,True,-21.8014,13.1032,150.2645,17.1117,2,159
0.1,-0.04,descend,v6clip,2.1778,16.8869,True,False,-21.8014,22.238,135.0,39.6489,3,41
0.1,-0.04,approach,urdf,0.0294,0.3054,True,True,-21.8014,0.3517,139.9711,39.9825,0,159
0.1,-0.04,approach,v6clip,2.9459,5.6169,True,False,-21.8014,4.3603,135.0,46.2565,0,64
0.1,-0.02,descend,urdf,0.0494,0.4692,True,True,-11.3099,12.4546,152.2379,15.7767,4,159
0.1,-0.02,descend,v6clip,2.4859,19.303,True,False,-11.3099,23.157,135.0,41.146,0,41
0.1,-0.02,approach,urdf,0.0264,0.2703,True,True,-11.3099,-0.8777,141.5826,39.5654,0,159
0.1,-0.02,approach,v6clip,2.882,8.0607,True,False,-11.3099,4.9583,135.0,48.1024,3,50
0.1,-0.0,descend,urdf,0.0517,0.4841,True,True,-0.0,12.2429,152.9029,15.3383,4,159
0.1,-0.0,descend,v6clip,1.9905,20.4607,True,False,-0.0,23.615,135.0,41.8457,1,24
0.1,-0.0,approach,urdf,0.0254,0.2585,True,True,-0.0,-1.3085,142.1318,39.4352,0,159
0.1,-0.0,approach,v6clip,2.9805,8.8742,True,False,-0.0,5.1718,135.0,48.7024,1,35
0.1,0.02,descend,urdf,0.0494,0.4692,True,True,11.3099,12.4546,152.238,15.7766,4,159
0.1,0.02,descend,v6clip,2.4859,19.303,True,False,11.3099,23.157,135.0,41.146,0,41
0.1,0.02,approach,urdf,0.0264,0.2703,True,True,11.3099,-0.8777,141.5826,39.5654,0,159
0.1,0.02,approach,v6clip,2.882,8.0607,True,False,11.3099,4.9583,135.0,48.1024,3,50
0.1,0.04,descend,urdf,0.0485,0.4795,True,True,21.8014,13.1032,150.2645,17.1117,2,159
0.1,0.04,descend,v6clip,2.1778,16.8869,True,False,21.8014,22.238,135.0,39.6489,3,41
0.1,0.04,approach,urdf,0.0294,0.3054,True,True,21.8014,0.3517,139.9711,39.9825,0,159
0.1,0.04,approach,v6clip,2.9459,5.6169,True,False,21.8014,4.3603,135.0,46.2565,0,64
0.1,0.06,descend,urdf,0.0408,0.4255,True,True,30.9638,14.1231,147.2561,19.0464,2,159
0.1,0.06,descend,v6clip,2.7609,12.8098,True,False,30.9638,20.895,135.0,36.9149,1,36
0.1,0.06,approach,urdf,0.0339,0.3614,True,True,30.9638,2.2263,137.3923,40.7428,0,159
0.1,0.06,approach,v6clip,2.7999,2.1853,True,True,30.9638,3.8091,135.0,43.3761,2,9
0.1,0.08,descend,urdf,0.0316,0.3505,True,True,38.6598,15.4892,143.3861,21.4752,2,159
0.1,0.08,descend,v6clip,2.8399,8.1677,True,False,38.6598,19.6885,135.0,33.4792,1,51
0.1,0.08,approach,urdf,0.0395,0.4347,True,True,38.6598,4.5723,133.967,41.8955,0,159
0.1,0.08,approach,v6clip,0.0395,0.4347,True,True,38.6598,4.5723,133.967,41.8955,0,159
0.1,0.1,descend,urdf,0.0214,0.2514,True,True,45.0,17.1526,138.844,24.2548,2,159
0.1,0.1,descend,v6clip,2.751,3.1573,True,True,44.9738,18.8139,135.0,29.3434,4,16
0.1,0.1,approach,urdf,0.0218,0.2487,True,True,45.0,7.0755,130.0519,43.1213,1,159
0.1,0.1,approach,v6clip,0.0218,0.2487,True,True,45.0,7.0755,130.0519,43.1213,1,159
