x,y,z_name,limits,pos_err_mm,tilt_deg,pos_ok,vertical_ok,q0,q1,q2,q3,seed_idx,iters
0.1,-0.26,descend,urdf,0.0149,0.1998,True,True,-68.9625,37.7262,81.9006,60.573,0,115
0.1,-0.26,descend,v6clip,0.0149,0.1998,True,True,-68.9625,37.7262,81.9006,60.573,0,115
0.1,-0.26,approach,urdf,0.0553,0.6927,True,True,-68.9625,32.9873,74.9964,71.3236,0,159
0.1,-0.26,approach,v6clip,0.0553,0.6927,True,True,-68.9625,32.9873,74.9964,71.3236,0,159
0.1,-0.24,descend,urdf,0.0263,0.3595,True,True,-67.3801,33.5337,91.6089,54.4978,3,159
0.1,-0.24,descend,v6clip,0.0263,0.3595,True,True,-67.3801,33.5337,91.6089,54.4978,3,159
0.1,-0.24,approach,urdf,0.2731,0.0004,True,True,-67.3801,29.0287,83.2445,67.7265,0,9
0.1,-0.24,approach,v6clip,0.2731,0.0004,True,True,-67.3801,29.0287,83.2445,67.7265,0,9
0.1,-0.22,descend,urdf,0.0314,0.4296,True,True,-65.556,29.9955,99.7704,49.8045,1,159
0.1,-0.22,descend,v6clip,0.0314,0.4296,True,True,-65.556,29.9955,99.7704,49.8045,1,159
0.1,-0.22,approach,urdf,0.0299,0.3776,True,True,-65.556,25.2762,90.9509,64.1505,0,159
0.1,-0.22,approach,v6clip,0.0299,0.3776,True,True,-65.556,25.2762,90.9509,64.1505,0,159
0.1,-0.2,descend,urdf,0.0147,0.1996,True,True,-63.4349,26.8783,106.9377,45.9844,1,64
0.1,-0.2,descend,v6clip,0.0147,0.1996,True,True,-63.4349,26.8783,106.9377,45.9844,1,64
0.1,-0.2,approach,urdf,0.0156,0.1971,True,True,-63.4349,21.0719,99.0825,59.6485,3,101
0.1,-0.2,approach,v6clip,0.0156,0.1971,True,True,-63.4349,21.0719,99.0825,59.6485,3,101
0.1,-0.18,descend,urdf,0.0165,0.2208,True,True,-60.9454,24.0654,113.391,42.7644,1,159
0.1,-0.18,descend,v6clip,0.0165,0.2208,True,True,-60.9454,24.0654,113.391,42.7644,1,159
0.1,-0.18,approach,urdf,0.0159,0.1988,True,True,-60.9454,17.4427,105.8523,56.5062,1,158
0.1,-0.18,approach,v6clip,0.0159,0.1988,True,True,-60.9454,17.4427,105.8523,56.5062,1,158
0.1,-0.16,descend,urdf,0.0303,0.3955,True,True,-57.9946,21.2969,119.6718,39.4268,1,159
0.1,-0.16,descend,v6clip,0.0303,0.3955,True,True,-57.9946,21.2969,119.6718,39.4268,1,159
0.1,-0.16,approach,urdf,0.8927,0.0482,True,True,-57.9946,14.2525,111.9648,53.7345,1,9
