q5_deg,body,part,n_raw_points,hull_ok,max_depth_mm,r_at_max_depth_mm,max_depth_in_footprint_mm,min_r_mm_in_rim_band
88.3100,link5,part_000,11,1,-25.394,23.98,,
88.3100,link5,part_001,13,1,-34.876,20.61,,
88.3100,link5,part_002,10,1,-42.267,26.28,,
88.3100,link5,part_003,5,1,-26.975,27.88,,
88.3100,link5,part_004,7,1,-39.676,23.25,,
88.3100,link5,part_005,12,1,-25.912,23.54,-31.564,
88.3100,link5,part_006,9,1,-34.876,17.43,,
88.3100,link5,part_007,5,1,-35.352,12.62,-35.352,
88.3100,link5,part_008,7,1,-51.612,28.66,,
88.3100,link5,part_009,7,1,-51.612,27.17,,
88.3100,link5,part_010,4,1,-34.972,13.74,-34.972,
88.3100,link5,part_011,8,1,-39.676,19.25,,
88.3100,link5,part_012,13,1,-25.686,23.88,-28.101,
88.3100,link5,part_013,8,1,-34.413,20.62,,
88.3100,link5,part_014,8,1,-8.290,19.12,,
88.3100,link5,part_015,10,1,-9.985,19.07,,
88.3100,link5,part_016,11,1,-34.876,20.61,-34.876,
88.3100,link5,part_017,8,1,-67.754,24.76,,
88.3100,link5,part_018,6,1,-34.876,17.43,-34.948,
88.3100,link5,part_019,10,1,-51.612,23.12,,
88.3100,link5,part_020,11,1,-51.612,23.87,,
88.3100,link5,part_021,9,1,-67.754,23.12,,
88.3100,link5,part_022,9,1,-28.675,17.11,-28.852,
88.3100,link5,part_023,7,1,-4.983,17.63,,
88.3100,link5,part_024,7,1,-97.488,21.87,,
88.3100,link5,part_025,8,1,-9.985,17.75,,
88.3100,link5,part_026,9,1,-3.041,15.50,-3.041,
88.3100,link5,part_027,8,1,-11.684,15.33,-11.684,
88.3100,link5,part_028,8,1,-28.750,15.45,-28.750,
88.3100,link5,part_029,12,1,4.458,11.50,4.458,
88.3100,link5,part_030,12,1,4.458,11.50,4.458,
88.3100,link5,part_031,8,1,-1.585,15.21,-1.585,
88.3100,link5,part_032,8,1,-52.462,19.57,-52.653,
88.3100,link5,part_033,11,1,-103.434,24.76,-105.799,
88.3100,link5,part_034,9,1,-67.754,22.61,-67.754,
88.3100,link5,part_035,8,1,-67.754,17.69,-67.754,
88.3100,link5,part_036,8,1,-59.258,18.97,-59.258,
88.3100,link5,part_037,8,1,-53.282,18.97,-53.282,
88.3100,link5,part_038,8,1,-67.754,12.39,-67.754,
88.3100,link5,part_039,4,1,-62.546,15.52,-62.551,
88.3100,link5,part_040,9,1,-97.488,22.61,-97.488,
88.3100,link5,part_041,12,1,-113.629,17.70,-113.755,
88.3100,link5,part_042,8,1,-59.258,16.88,-59.258,
88.3100,link5,part_043,8,1,-64.355,16.88,-64.355,
88.3100,link5,part_044,8,1,-67.754,17.63,-67.754,
88.3100,link5,part_045,7,1,-97.488,18.94,-97.488,
88.3100,link5,part_046,5,1,-67.754,16.22,,
88.3100,link5,part_047,8,1,-59.258,15.49,-59.258,
88.3100,link5,part_048,12,1,-102.585,17.75,-105.621,
88.3100,link5,part_049,8,1,-53.282,17.01,-53.282,
88.3100,link5,part_050,8,1,-92.390,16.88,,
88.3100,link5,part_051,8,1,-67.754,11.08,-67.754,
88.3100,link5,part_052,9,1,-67.754,18.24,-67.754,
88.3100,link5,part_053,11,1,-67.754,17.26,,
88.3100,link5,part_054,8,1,-97.488,16.23,,
88.3100,link5,part_055,8,1,-92.390,21.63,,
88.3100,link5,part_056,10,1,-67.754,19.61,-67.754,
88.3100,link5,part_057,12,1,-74.550,19.61,-74.550,
88.3100,link5,part_058,8,1,-70.302,14.94,-70.302,
88.3100,link5,part_059,8,1,-92.390,14.94,-92.390,
88.3100,link5,part_060,9,1,-67.754,19.58,,
88.3100,link5,part_061,13,1,-105.911,18.57,-106.161,
88.3100,link5,part_062,8,1,-97.488,18.87,-97.488,
88.3100,link5,part_063,8,1,-68.795,18.89,,
88.3100,gripper_link,part_000,6,1,-67.412,19.28,,
88.3100,gripper_link,part_001,12,1,-57.526,19.39,,
88.3100,gripper_link,part_002,8,1,-56.874,20.86,,
88.3100,gripper_link,part_003,9,1,-60.162,20.83,,
88.3100,gripper_link,part_004,7,1,-66.927,20.64,,
88.3100,gripper_link,part_005,6,1,-53.616,18.61,,
88.3100,gripper_link,part_006,10,1,-68.463,20.17,,
88.3100,gripper_link,part_007,10,1,-68.010,19.16,,
88.3100,gripper_link,part_008,10,1,-53.214,20.67,,
88.3100,gripper_link,part_009,9,1,-71.298,19.19,,
88.3100,gripper_link,part_010,8,1,-68.342,18.49,,
88.3100,gripper_link,part_011,10,1,-53.068,21.08,,
88.3100,gripper_link,part_012,8,1,-71.444,19.86,,
88.3100,gripper_link,part_013,6,1,-57.598,19.27,,
88.3100,gripper_link,part_014,10,1,-60.192,21.19,,
88.3100,gripper_link,part_015,8,1,-60.192,22.68,,
88.3100,gripper_link,part_016,10,1,-64.267,23.44,,
88.3100,gripper_link,part_017,8,1,-53.068,22.58,,
88.3100,gripper_link,part_018,8,1,-67.865,21.31,,
88.3100,gripper_link,part_019,10,1,-68.024,20.66,,
88.3100,gripper_link,part_020,8,1,-71.701,21.37,,
88.3100,gripper_link,part_021,8,1,-64.267,22.00,,
88.3100,gripper_link,part_022,12,1,-67.317,21.30,,
88.3100,gripper_link,part_023,8,1,-53.068,22.58,,
88.3100,gripper_link,part_024,10,1,-71.765,21.84,,
88.3100,gripper_link,part_025,10,1,-53.068,21.08,,
88.3100,gripper_link,part_026,8,1,-54.138,28.12,,
