leg,physics_step,phase,q5_deg,delta_mm,tilt_deg,clr_fixed_mm_MA,clr_moving_mm_MA,clr_fixed_mm_MB,clr_moving_mm_MB,clr_fixed_mm_visual,clr_moving_mm_visual,fixed_argmin_part,moving_argmin_part,fixed_n_inside,moving_n_inside
1,386,close,88.3094,0.277198,0.0021,0.711890,48.542325,0.685527,48.566774,0.711781,48.531938,part_029,part_011,0,0
1,387,close,88.3094,-0.058962,0.0023,0.413286,48.212055,0.383640,48.239476,0.413286,48.202177,part_029,part_011,0,0
1,388,close,86.5104,-0.328933,0.0020,0.168861,47.619923,0.136083,47.650168,0.168851,47.540185,part_029,part_011,0,0
1,389,close,84.7113,-0.534874,0.0190,0.012025,47.065649,-0.020615,47.095331,0.012000,46.887291,part_029,part_025,0,0
1,390,close,82.9122,-0.647027,0.1728,0.003581,46.540865,-0.021185,46.563088,0.003545,46.264118,part_029,part_025,0,0
1,391,close,81.1132,-0.740008,0.4312,0.001509,45.990840,-0.015548,46.005738,0.001474,45.661713,part_029,part_025,0,0
1,392,close,79.3141,-0.819976,0.6299,-0.006272,45.403130,-0.017469,45.412623,-0.006340,45.083052,part_029,part_025,12,0
1,393,close,77.5150,-0.884844,0.7935,-0.011416,44.791953,-0.017780,44.797286,-0.011511,44.513799,part_029,part_025,14,0
1,394,close,75.7159,-0.938805,0.9275,-0.015960,44.198684,-0.018408,44.200733,-0.016077,43.965267,part_029,part_025,14,0
1,395,close,73.9169,-0.983336,1.0364,-0.019176,43.628313,-0.018434,43.627692,-0.019309,43.440743,part_029,part_025,15,0
1,396,close,72.1178,-1.019320,1.1257,-0.022066,43.079147,-0.018715,43.076336,-0.022214,42.938467,part_029,part_025,17,0
1,397,close,70.3187,-1.048424,1.1984,-0.024091,42.552146,-0.018596,42.547527,-0.024252,42.447017,part_029,part_025,17,0
1,398,close,68.5340,-1.072923,1.2584,-0.026531,41.726853,-0.019292,41.721747,-0.026701,41.703974,part_029,part_030,18,0
1,399,close,66.9927,-1.093998,1.3095,-0.027657,40.866785,-0.018906,40.860847,-0.027836,40.845610,part_029,part_030,18,0
1,400,close,65.7298,-1.110277,1.3507,-0.028679,40.133810,-0.018740,40.127414,-0.028863,40.118726,part_029,part_042,18,0
1,401,close,64.6950,-1.124662,1.3841,-0.030183,39.515819,-0.019271,39.508990,-0.030373,39.506205,part_029,part_042,18,0
1,402,close,63.8471,-1.135104,1.4108,-0.031001,39.000104,-0.019296,38.993036,-0.031195,38.994935,part_029,part_042,18,0
1,403,close,63.1522,-1.144366,1.4328,-0.031747,38.570458,-0.019416,38.563168,-0.031945,38.569080,part_029,part_042,19,0
1,404,close,62.5829,-1.151573,1.4503,-0.032350,38.213612,-0.019533,38.206176,-0.032551,38.197662,part_029,part_042,19,0
1,405,close,62.1164,-1.157738,1.4645,-0.032586,37.875769,-0.019352,37.870371,-0.032788,37.851890,part_029,part_045,19,0
1,406,close,61.7341,-1.161658,1.4759,-0.032346,37.591718,-0.018760,37.586185,-0.032550,37.568862,part_029,part_045,19,0
1,407,close,61.4209,-1.165440,1.4849,-0.032598,37.358553,-0.018757,37.352922,-0.032803,37.336541,part_029,part_045,19,0
1,408,close,61.1642,-1.168538,1.4924,-0.033162,37.168568,-0.019111,37.162859,-0.033369,37.147249,part_029,part_045,19,0
1,409,close,60.9539,-1.170920,1.4983,-0.033997,37.011798,-0.019786,37.006029,-0.034203,36.991049,part_029,part_045,19,0
1,410,close,60.7816,-1.173332,1.5033,-0.034020,36.883077,-0.019646,36.877244,-0.034228,36.862801,part_029,part_045,19,0
1,411,close,60.6404,-1.174702,1.5070,-0.034293,36.778296,-0.019826,36.772428,-0.034500,36.758407,part_029,part_045,20,0
1,412,close,60.5247,-1.176072,1.5103,-0.034646,36.692211,-0.020086,36.686308,-0.034853,36.672640,part_029,part_045,20,0
1,413,close,58.7256,-1.171277,1.4991,-0.033865,35.368096,-0.019629,35.362294,-0.034071,35.353705,part_029,part_045,19,0
1,414,close,56.9265,-1.172975,1.5031,-0.034065,34.042087,-0.019714,34.036197,-0.034271,34.033072,part_029,part_045,19,0
1,415,close,55.1275,-1.174345,1.5063,-0.034448,32.720324,-0.020005,32.714328,-0.034655,32.716931,part_029,part_045,20,0
1,416,close,53.3551,-1.176072,1.5098,-0.033757,31.420989,-0.019197,31.415039,-0.033965,31.420828,part_029,part_045,19,0
1,417,close,51.8462,-1.177252,1.5142,-0.032876,30.294256,-0.018149,30.288706,-0.033083,30.294133,part_029,part_045,19,0
1,418,close,50.6098,-1.179170,1.5174,-0.034281,29.352248,-0.019511,29.347105,-0.034489,29.352244,part_029,part_045,20,0
