body,q5_deg,band_lo_mm,band_hi_mm,n_pts_in_window,min_r_mm,max_r_mm
link5,static,-5.0,-4.5,486,10.15,17.51
link5,static,-4.5,-4.0,506,10.08,17.26
link5,static,-4.0,-3.5,688,10.04,16.92
link5,static,-3.5,-3.0,814,10.03,16.51
link5,static,-3.0,-2.5,660,10.03,16.17
link5,static,-2.5,-2.0,600,10.03,15.80
link5,static,-2.0,-1.5,632,10.03,15.45
link5,static,-1.5,-1.0,538,10.03,15.12
link5,static,-1.0,-0.5,772,10.03,14.77
link5,static,-0.5,0.0,690,10.04,14.56
link5,static,0.0,0.5,480,10.07,14.14
link5,static,0.5,1.0,550,10.08,13.94
link5,static,1.0,1.5,570,10.07,13.71
link5,static,1.5,2.0,674,10.04,13.38
link5,static,2.0,2.5,738,10.03,13.18
link5,static,2.5,3.0,480,10.03,12.88
link5,static,3.0,3.5,574,10.03,12.73
link5,static,3.5,4.0,390,10.03,12.52
link5,static,4.0,4.5,600,10.03,12.26
link5,static,4.5,5.0,0,,
link5,static,5.0,5.5,0,,
link5,static,5.5,6.0,0,,
link5,static,6.0,6.5,0,,
link5,static,6.5,7.0,0,,
link5,static,7.0,7.5,0,,
link5,static,7.5,8.0,0,,
link5,static,8.0,8.5,0,,
link5,static,8.5,9.0,0,,
link5,static,9.0,9.5,0,,
link5,static,9.5,10.0,0,,
link5,static,10.0,10.5,0,,
link5,static,10.5,11.0,0,,
link5,static,11.0,11.5,0,,
link5,static,11.5,12.0,0,,
link5,static,12.0,12.5,0,,
link5,static,12.5,13.0,0,,
link5,static,13.0,13.5,0,,
link5,static,13.5,14.0,0,,
link5,static,14.0,14.5,0,,
link5,static,14.5,15.0,0,,
link5,static,15.0,15.5,0,,
link5,static,15.5,16.0,0,,
link5,static,16.0,16.5,0,,
link5,static,16.5,17.0,0,,
link5,static,17.0,17.5,0,,
link5,static,17.5,18.0,0,,
link5,static,18.0,18.5,0,,
link5,static,18.5,19.0,0,,
link5,static,19.0,19.5,0,,
link5,static,19.5,20.0,0,,
link5,static,20.0,20.5,0,,
link5,static,20.5,21.0,0,,
link5,static,21.0,21.5,0,,
link5,static,21.5,22.0,0,,
link5,static,22.0,22.5,0,,
link5,static,22.5,23.0,0,,
link5,static,23.0,23.5,0,,
link5,static,23.5,24.0,0,,
link5,static,24.0,24.5,0,,
link5,static,24.5,25.0,0,,
link5,static,25.0,25.5,0,,
link5,static,25.5,26.0,0,,
link5,static,26.0,26.5,0,,
link5,static,26.5,27.0,0,,
link5,static,27.0,27.5,0,,
link5,static,27.5,28.0,0,,
link5,static,28.0,28.5,0,,
link5,static,28.5,29.0,0,,
link5,static,29.0,29.5,0,,
link5,static,29.5,30.0,0,,
gripper_link,88.3100,-5.0,-4.5,0,,
gripper_link,88.3100,-4.5,-4.0,0,,
gripper_link,88.3100,-4.0,-3.5,0,,
gripper_link,88.3100,-3.5,-3.0,0,,
gripper_link,88.3100,-3.0,-2.5,0,,
gripper_link,88.3100,-2.5,-2.0,0,,
gripper_link,88.3100,-2.0,-1.5,0,,
gripper_link,88.3100,-1.5,-1.0,0,,
gripper_link,88.3100,-1.0,-0.5,0,,
gripper_link,88.3100,-0.5,0.0,0,,
gripper_link,88.3100,0.0,0.5,0,,
gripper_link,88.3100,0.5,1.0,0,,
gripper_link,88.3100,1.0,1.5,0,,
gripper_link,88.3100,1.5,2.0,0,,
gripper_link,88.3100,2.0,2.5,0,,
