sweep,theta_deg,psi_deg,x,y,z_name,pos_err_mm,axis_err_deg,pos_ok,axis_ok,q4_required_deg,support_clearance_mm,pass
pin,0.0,0.0,0.21369616873214542,-0.19571919576125169,descend,0.0337,0.4457,True,True,90.0,50.0637,True
pin,0.0,0.0,0.21369616873214542,-0.19571919576125169,approach,0.1159,1.431,True,True,90.0,90.1927,True
pin,0.0,15.0,0.21369616873214542,-0.19571919576125169,descend,0.0337,0.4457,True,True,90.0,50.0637,True
pin,0.0,15.0,0.21369616873214542,-0.19571919576125169,approach,0.1159,1.431,True,True,90.0,90.1927,True
pin,0.0,30.0,0.21369616873214542,-0.19571919576125169,descend,0.0337,0.4457,True,True,90.0,50.0637,True
pin,0.0,30.0,0.21369616873214542,-0.19571919576125169,approach,0.1159,1.431,True,True,90.0,90.1927,True
pin,0.0,45.0,0.21369616873214542,-0.19571919576125169,descend,0.0337,0.4457,True,True,90.0,50.0637,True
pin,0.0,45.0,0.21369616873214542,-0.19571919576125169,approach,0.1159,1.431,True,True,90.0,90.1927,True
pin,0.0,60.0,0.21369616873214542,-0.19571919576125169,descend,0.0337,0.4457,True,True,90.0,50.0637,True
pin,0.0,60.0,0.21369616873214542,-0.19571919576125169,approach,0.1159,1.431,True,True,90.0,90.1927,True
pin,0.0,75.0,0.21369616873214542,-0.19571919576125169,descend,0.0337,0.4457,True,True,90.0,50.0637,True
pin,0.0,75.0,0.21369616873214542,-0.19571919576125169,approach,0.1159,1.431,True,True,90.0,90.1927,True
pin,0.0,90.0,0.21369616873214542,-0.19571919576125169,descend,0.0337,0.4457,True,True,90.0,50.0637,True
pin,0.0,90.0,0.21369616873214542,-0.19571919576125169,approach,0.1159,1.431,True,True,90.0,90.1927,True
pin,0.0,105.0,0.21369616873214542,-0.19571919576125169,descend,0.0337,0.4457,True,True,90.0,50.0637,True
pin,0.0,105.0,0.21369616873214542,-0.19571919576125169,approach,0.1159,1.431,True,True,90.0,90.1927,True
pin,0.0,120.0,0.21369616873214542,-0.19571919576125169,descend,0.0337,0.4457,True,True,90.0,50.0637,True
pin,0.0,120.0,0.21369616873214542,-0.19571919576125169,approach,0.1159,1.431,True,True,90.0,90.1927,True
pin,0.0,135.0,0.21369616873214542,-0.19571919576125169,descend,0.0337,0.4457,True,True,90.0,50.0637,True
