physics_step,sim_time_s,phase,label,tcp_x,tcp_y,tcp_z,obj_x,obj_y,obj_z,quat_w,quat_x,quat_y,quat_z,q5_deg,q5_cmd_deg,target_error_m,object_drift_m,object_speed_mps,tilt_deg,upright_z,marker,attach_calls_total,posewrite_calls_total
0,0.0,settle,initial_settle,0.343719,-1e-06,0.343423,0.213861,-0.195732,0.025001,1.0,5.8e-05,-2.3e-05,-0.000166,88.31,88.31,0.357658,0.012119,0.002491,0.0072,1.0,0,0,0
1,0.01,settle,initial_settle,0.34377,-1e-06,0.343128,0.213863,-0.195729,0.025,1.0,5e-06,2.1e-05,-0.00017,88.31,88.31,0.357454,0.012118,0.000826,0.0025,1.0,0,0,0
2,0.02,settle,initial_settle,0.343812,-1e-06,0.342886,0.213862,-0.195728,0.025,1.0,-1.8e-05,-4e-06,-0.000164,88.31,88.31,0.357288,0.012118,0.000453,0.0021,1.0,0,0,0
3,0.03,settle,initial_settle,0.343845,-1e-06,0.342691,0.213861,-0.19573,0.025,1.0,9e-06,-1.5e-05,-0.000164,88.31,88.31,0.357153,0.012118,0.000617,0.002,1.0,0,0,0
4,0.04,settle,initial_settle,0.343872,-2e-06,0.342533,0.213863,-0.19573,0.025,1.0,8e-06,1.9e-05,-0.00017,88.3101,88.31,0.357045,0.012118,0.000745,0.0023,1.0,0,0,0
5,0.05,settle,initial_settle,0.343893,-2e-06,0.342406,0.213862,-0.195728,0.025,1.0,-1.8e-05,-1e-06,-0.000165,88.3101,88.31,0.356957,0.012118,0.00043,0.0021,1.0,0,0,0
6,0.06,settle,initial_settle,0.343911,-2e-06,0.342303,0.213861,-0.19573,0.025,1.0,7e-06,-1.6e-05,-0.000163,88.3101,88.31,0.356886,0.012118,0.000657,0.002,1.0,0,0,0
7,0.07,settle,initial_settle,0.343924,-2e-06,0.34222,0.213863,-0.19573,0.025,1.0,1.1e-05,1.7e-05,-0.00017,88.3101,88.31,0.356828,0.012118,0.000708,0.0023,1.0,0,0,0
8,0.08,settle,initial_settle,0.343936,-2e-06,0.342153,0.213862,-0.195728,0.025,1.0,-1.7e-05,3e-06,-0.000165,88.3101,88.31,0.356782,0.012118,0.000431,0.002,1.0,0,0,0
9,0.09,settle,initial_settle,0.343945,-2e-06,0.342099,0.213861,-0.19573,0.025,1.0,5e-06,-1.7e-05,-0.000163,88.3101,88.31,0.356745,0.012118,0.000697,0.0021,1.0,0,0,0
10,0.1,settle,initial_settle,0.343952,-2e-06,0.342055,0.213863,-0.19573,0.025,1.0,1.3e-05,1.6e-05,-0.000169,88.3101,88.31,0.356714,0.012118,0.000667,0.0024,1.0,0,0,0
11,0.11,settle,initial_settle,0.343958,-2e-06,0.342019,0.213862,-0.195728,0.025,1.0,-1.6e-05,6e-06,-0.000166,88.3102,88.31,0.35669,0.012118,0.000447,0.002,1.0,0,0,0
12,0.12,settle,initial_settle,0.343963,-2e-06,0.341991,0.213861,-0.195729,0.025,1.0,3e-06,-1.8e-05,-0.000162,88.3102,88.31,0.35667,0.012118,0.000731,0.0021,1.0,0,0,0
13,0.13,settle,initial_settle,0.343967,-2e-06,0.341968,0.213863,-0.19573,0.025,1.0,1.5e-05,1.3e-05,-0.000169,88.3102,88.31,0.356654,0.012118,0.000611,0.0023,1.0,0,0,0
14,0.14,settle,initial_settle,0.34397,-2e-06,0.341949,0.213863,-0.195728,0.025,1.0,-1.5e-05,8e-06,-0.000166,88.3102,88.31,0.356641,0.012118,0.000475,0.002,1.0,0,0,0
15,0.15,settle,initial_settle,0.343972,-2e-06,0.341934,0.213861,-0.195729,0.025,1.0,0.0,-1.9e-05,-0.000162,88.3102,88.31,0.356631,0.012118,0.000754,0.0022,1.0,0,0,0
16,0.16,settle,initial_settle,0.343974,-2e-06,0.341922,0.213862,-0.19573,0.025,1.0,1.7e-05,1.1e-05,-0.000169,88.3102,88.31,0.356623,0.012118,0.000556,0.0023,1.0,0,0,0
17,0.17,settle,initial_settle,0.343976,-2e-06,0.341912,0.213863,-0.195728,0.025,1.0,-1.4e-05,1e-05,-0.000167,88.3102,88.31,0.356616,0.012118,0.000514,0.0019,1.0,0,0,0
18,0.18,settle,initial_settle,0.343977,-2e-06,0.341904,0.213861,-0.195729,0.025,1.0,-2e-06,-1.9e-05,-0.000162,88.3102,88.31,0.356611,0.012118,0.000765,0.0022,1.0,0,0,0
19,0.19,settle,initial_settle,0.343978,-2e-06,0.341898,0.213862,-0.19573,0.025,1.0,1.8e-05,8e-06,-0.000168,88.3103,88.31,0.356606,0.012118,0.000503,0.0022,1.0,0,0,0
20,0.2,settle,initial_settle,0.343979,-2e-06,0.341892,0.213863,-0.195728,0.025,1.0,-1.1e-05,1.2e-05,-0.000167,88.3103,88.31,0.356602,0.012118,0.000562,0.0019,1.0,0,0,0
21,0.21,settle,initial_settle,0.34398,-2e-06,0.341888,0.213861,-0.195729,0.025,1.0,-5e-06,-1.9e-05,-0.000162,88.3103,88.31,0.356599,0.012118,0.000766,0.0023,1.0,0,0,0
22,0.22,settle,initial_settle,0.34398,-2e-06,0.341885,0.213862,-0.19573,0.025,1.0,1.8e-05,4e-06,-0.000168,88.3103,88.31,0.356597,0.012118,0.000456,0.0022,1.0,0,0,0
23,0.23,settle,initial_settle,0.343981,-2e-06,0.341882,0.213863,-0.195729,0.025,1.0,-9e-06,1.5e-05,-0.000168,88.3103,88.31,0.356595,0.012118,0.000615,0.002,1.0,0,0,0
24,0.24,settle,initial_settle,0.343981,-2e-06,0.34188,0.213861,-0.195729,0.025,1.0,-8e-06,-1.9e-05,-0.000162,88.3103,88.31,0.356594,0.012118,0.000745,0.0024,1.0,0,0,0
25,0.25,settle,initial_settle,0.343981,-2e-06,0.341878,0.213862,-0.19573,0.025,1.0,1.8e-05,1e-06,-0.000167,88.3103,88.31,0.356593,0.012118,0.000428,0.0021,1.0,0,0,0
